gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
MME-202	MME-201	3470.0	1	13959434.0	14046535.0	4	34605869.0	34698195.0
mrna_18043	mrna_808931	555.0	1	14190629.0	14191043.0	4	34475487.0	34475904.0
ARHGEF26-202	ARHGEF26-201	3890.0	1	14769162.0	14910171.0	4	33729106.0	33882996.0
MBNL1-208	MBNL1-206	1830.0	1	16473713.0	16614712.0	4	32000832.0	32178111.0
mrna_19105	mrna_807768	911.0	1	18163413.0	18187230.0	4	30467500.0	30498059.0
SERP1-201	SERP1-202	354.0	1	18243224.0	18245939.0	4	30417397.0	30418315.0
TSC22D2-201	TSC22D2-202	3470.0	1	18318620.0	18365769.0	4	30288325.0	30338020.0
mrna_19404	RNF13-201	1750.0	1	18815838.0	18967562.0	4	29717251.0	29857462.0
HPS3-201	HPS3-204	4440.0	1	19592736.0	19633152.0	4	29086574.0	29131407.0
GYG1-203	GYG1-201	1570.0	1	19742052.0	19779516.0	4	28961345.0	28999275.0
AGTR1-201	AGTR1-202	1800.0	1	20044709.0	20056562.0	4	28701672.0	28703847.0
mrna_20109	ZIC4-201	476.0	1	21197772.0	21198426.0	4	27549921.0	27566320.0
mrna_20209	PLSCR1-201	1430.0	1	22109497.0	22131347.0	4	26606076.0	26636284.0
PLOD2-203	PLOD2-202	3490.0	1	22463322.0	22573150.0	4	26306359.0	26414953.0
mrna_20590	mrna_806243	372.0	1	24073774.0	24074286.0	4	24844906.0	24845277.0
U2SURP-202	mrna_805994	1730.0	1	25399052.0	25451487.0	4	23553983.0	23597926.0
TRPC1-203	TRPC1-202	1940.0	1	25661758.0	25724263.0	4	23284320.0	23346630.0
mrna_21714	mrna_805288	429.0	1	26342529.0	26342856.0	4	22703616.0	22704063.0
ATP1B3-202	ATP1B3-201	1230.0	1	26383840.0	26432447.0	4	22619932.0	22662291.0
RNF7-202	RNF7-201	527.0	1	26551236.0	26557801.0	4	22505851.0	22512644.0
RASA2-202	RASA2-208	2480.0	1	26717057.0	26834574.0	4	22262767.0	22355788.0
ZBTB38-201	ZBTB38-202	5400.0	1	26875876.0	26879470.0	4	22162241.0	22205734.0
mrna_22139	mrna_804528	1470.0	1	27270806.0	27309668.0	4	21774589.0	21815608.0
mrna_22389	mrna_804112	598.0	1	28622906.0	28623338.0	4	19838442.0	19838976.0
mrna_22447	mrna_804119	1090.0	1	28752451.0	28753386.0	4	19847085.0	19847922.0
COPB2-202	COPB2-201	4210.0	1	29162958.0	29192943.0	4	20265488.0	20299931.0
RBP1-202	RBP1-201	621.0	1	29299616.0	29313068.0	4	20405294.0	20428711.0
NMNAT3-204	mrna_804316	689.0	1	29332983.0	29400025.0	4	20449886.0	20515563.0
PIK3CB-201	PIK3CB-202	4980.0	1	29492292.0	29694198.0	4	19501941.0	19697578.0
NME9-203	NME9-202	1440.0	1	29985832.0	30039410.0	4	19155629.0	19208601.0
CLDN18-201	CLDN18-202	1160.0	1	30264193.0	30289315.0	4	18912637.0	18925009.0
mrna_23505	mrna_802983	164.0	1	30314219.0	30315084.0	4	18877013.0	18878494.0
IL20RB-201	IL20RB-202	1380.0	1	31123743.0	31152783.0	4	18049655.0	18080434.0
mrna_23605	mrna_802857	1790.0	1	31163378.0	31186215.0	4	18021304.0	18039952.0
STAG1-205	STAG1-203	5900.0	1	31374356.0	31832742.0	4	17390970.0	17835682.0
STAG1-206	STAG1-204	1090.0	1	31374356.0	31660541.0	4	17540453.0	17835608.0
KY-202	KY-203	2980.0	1	33465333.0	33510363.0	4	15744303.0	15790246.0
CEP63-203	CEP63-201	3180.0	1	33531152.0	33612343.0	4	15636204.0	15723409.0
ANAPC13-201	mrna_801953	354.0	1	33611808.0	33618282.0	4	15630037.0	15636474.0
mrna_24791	mrna_801841	523.0	1	33916889.0	33918358.0	4	15323412.0	15324944.0
mrna_24887	mrna_801737	971.0	1	34121691.0	34176576.0	4	15066783.0	15124147.0
mrna_24932	SRPRB-201	1250.0	1	34182054.0	34219478.0	4	15024840.0	15063642.0
mrna_25013	mrna_801631	2890.0	1	34288652.0	34319397.0	4	14929680.0	14960766.0
mrna_25154	mrna_801490	661.0	1	34449576.0	34463326.0	4	14785451.0	14801141.0
NPHP3-202	NPHP3-201	6150.0	1	35332658.0	35375004.0	4	13768370.0	13819346.0
mrna_25416	UBA5-201	1420.0	1	35380701.0	35408914.0	4	13745016.0	13766801.0
mrna_25809	mrna_800789	2660.0	1	36168635.0	36784622.0	4	12438177.0	13070906.0
NEK11-201	mrna_800729	376.0	1	36950204.0	37210603.0	4	12251445.0	12251706.0
ATP2C1-202	ATP2C1-203	4400.0	1	37229305.0	37370323.0	4	11792205.0	11908796.0
METTL6-201	METTL6-202	1290.0	1	38377516.0	38395996.0	4	10777697.0	10794170.0
mrna_27216	mrna_799164	1290.0	1	39423769.0	39439845.0	4	9733913.0	9749304.0
TBC1D5-203	TBC1D5-201	2650.0	1	39831730.0	40179738.0	4	9085527.0	9322812.0
mrna_27523	mrna_798920	383.0	1	40841612.0	40841894.0	4	8322057.0	8322315.0
mrna_27528	mrna_798915	293.0	1	40841985.0	40842195.0	4	8321732.0	8321942.0
SATB1-202	SATB1-201	2750.0	1	41041690.0	41055805.0	4	8110624.0	8187603.0
mrna_27768	mrna_798703	386.0	1	42462497.0	42462857.0	4	6749325.0	6749637.0
RAB5A-201	mrna_798614	1010.0	1	42577927.0	42608499.0	4	6592246.0	6632430.0
SGO1-202	SGO1-201	2350.0	1	42807651.0	42821765.0	4	6397416.0	6414523.0
ZNF385D-205	ZNF385D-201	1840.0	1	44076329.0	44427061.0	4	4906244.0	5233186.0
UBE2E2-201	UBE2E2-202	941.0	1	45927124.0	46311969.0	4	3491036.0	3541105.0
mrna_28451	UBE2E1-203	832.0	1	46556952.0	46629563.0	4	2915857.0	2992810.0
NR1D2-202	NR1D2-201	2600.0	1	46697891.0	46722322.0	4	2824440.0	2850929.0
THRB-203	THRB-202	2200.0	1	46838361.0	47239553.0	4	2648544.0	2694272.0
NGLY1-203	NGLY1-201	3010.0	1	48552232.0	48626235.0	4	937946.0	1008734.0
mrna_29541	mrna_809325	223.0	1	50145995.0	50146304.0	4	35173691.0	35174952.0
PLCH1-204	PLCH1-205	7740.0	1	50163243.0	50346505.0	4	35191267.0	35377942.0
C3orf33-201	C3orf33-202	1370.0	1	50412593.0	50429789.0	4	35443674.0	35461686.0
GMPS-202	GMPS-203	3270.0	1	50479688.0	50593821.0	4	35513224.0	35614101.0
mrna_29728	mrna_809564	942.0	1	50655972.0	50682356.0	4	35673833.0	35706197.0
mrna_29920	SSR3-201	868.0	1	51169858.0	51182138.0	4	36196071.0	36212897.0
LEKR1-201	LEKR1-202	3120.0	1	51435684.0	51701917.0	4	36469887.0	36737829.0
mrna_30055	mrna_809933	240.0	1	51702563.0	51704074.0	4	36739051.0	36739690.0
mrna_30236	mrna_810117	441.0	1	52102606.0	52104372.0	4	37136877.0	37139275.0
RSRC1-202	RSRC1-204	1540.0	1	52706596.0	53146677.0	4	37745592.0	38214013.0
MLF1-204	MLF1-203	1310.0	1	53167828.0	53197961.0	4	38231041.0	38268451.0
MLF1-205	MLF1-204	1010.0	1	53167828.0	53197748.0	4	38231041.0	38265895.0
MFSD1-202	MFSD1-201	2140.0	1	53363495.0	53394085.0	4	38424360.0	38447974.0
IL12A-201	IL12A-202	993.0	1	54612105.0	54617808.0	4	39666685.0	39673584.0
mrna_31519	mrna_811438	2340.0	1	55799617.0	55839750.0	4	40757207.0	40798670.0
ZBBX-202	ZBBX-203	3760.0	1	60882988.0	60984383.0	4	45551337.0	45664861.0
GOLIM4-204	GOLIM4-202	3040.0	1	61563517.0	61647555.0	4	46208811.0	46290547.0
MECOM-204	MECOM-201	5780.0	1	62559330.0	63127864.0	4	47175592.0	47742064.0
LRRC34-201	LRRC34-202	1870.0	1	63235385.0	63256008.0	4	47845220.0	47864569.0
PHC3-204	PHC3-203	4720.0	1	63534437.0	63617921.0	4	48109945.0	48187467.0
SKIL-201	mrna_813139	3190.0	1	63759556.0	63781005.0	4	48318994.0	48352226.0
mrna_33178	mrna_813231	247.0	1	64045788.0	64045953.0	4	48613363.0	48613528.0
EIF5A2-202	EIF5A2-201	726.0	1	64204375.0	64217552.0	4	48764096.0	48781561.0
TNIK-206	TNIK-203	6280.0	1	64640066.0	64757211.0	4	48881820.0	49296349.0
PLD1-203	PLD1-201	4900.0	1	64865233.0	65079460.0	4	49393648.0	49548169.0
FNDC3B-204	FNDC3B-208	4830.0	1	65344843.0	65665695.0	4	49980221.0	50150407.0
ECT2-202	ECT2-201	4230.0	1	65987721.0	66057360.0	4	50470201.0	50534392.0
mrna_35007	mrna_815042	253.0	1	72091189.0	72093218.0	4	56447368.0	56448475.0
MFN1-201	MFN1-202	3450.0	1	72503331.0	72538565.0	4	56868549.0	56902697.0
TTC14-201	TTC14-202	3560.0	1	73703316.0	73712996.0	4	58101111.0	58112910.0
FXR1-203	FXR1-201	2620.0	1	73925658.0	73982595.0	4	58322025.0	58379338.0
mrna_36152	mrna_816211	544.0	1	73991098.0	73995535.0	4	58386177.0	58392284.0
ATP11B-205	mrna_816463	2920.0	1	75715921.0	75841244.0	4	60136728.0	60170086.0
ATP11B-208	mrna_816431	916.0	1	75715921.0	75757081.0	4	60083830.0	60122798.0
DCUN1D1-203	DCUN1D1-201	1230.0	1	75885378.0	75922159.0	4	60248438.0	60278930.0
mrna_36898	mrna_816549	299.0	1	75906073.0	75906307.0	4	60270692.0	60270920.0
mrna_36961	MCCC1-202	3330.0	1	75955207.0	76003216.0	4	60321960.0	60373023.0
YEATS2-204	YEATS2-201	6490.0	1	76525202.0	76646643.0	4	60895286.0	61004214.0
ABCC5-202	ABCC5-204	6180.0	1	76756731.0	76855729.0	4	61182222.0	61211134.0
mrna_37767	mrna_817291	971.0	1	76890425.0	76896484.0	4	61221986.0	61225760.0
mrna_37793	mrna_817318	1390.0	1	76916581.0	76920425.0	4	61267237.0	61271688.0
mrna_37827	PSMD2-201	202.0	1	76967677.0	76968886.0	4	61458530.0	61467468.0
ECE2-202	ECE2-204	3770.0	1	76974741.0	76988397.0	4	61439134.0	61452865.0
FAM131A-202	EIF4G1-203	1580.0	1	77059731.0	77066096.0	4	61471873.0	61498501.0
CLCN2-203	CLCN2-204	4110.0	1	77066954.0	77080863.0	4	61500078.0	61513797.0
POLR2H-201	POLR2H-202	708.0	1	77082727.0	77086749.0	4	61515759.0	61519511.0
POLR2H-202	POLR2H-203	576.0	1	77082727.0	77086466.0	4	61515759.0	61519257.0
mrna_38440	mrna_818790	541.0	1	77313408.0	77330009.0	4	61941046.0	61969972.0
EHHADH-203	EHHADH-202	3330.0	1	78000401.0	78005544.0	4	62454043.0	62459182.0
TMEM41A-203	mrna_818991	1170.0	1	78192117.0	78198969.0	4	62637397.0	62646879.0
mrna_38861	mrna_819062	244.0	1	78260920.0	78261094.0	4	62708443.0	62708620.0
mrna_38867	SENP2-201	2340.0	1	78279482.0	78312087.0	4	62724855.0	62764396.0
IGF2BP2-203	IGF2BP2-201	2850.0	1	78329977.0	78496824.0	4	62778283.0	62940530.0
DGKG-202	DGKG-203	3470.0	1	78810564.0	78974769.0	4	63241108.0	63399849.0
FETUB-201	FETUB-202	1650.0	1	79320685.0	79338925.0	4	63735756.0	63754847.0
mrna_39540	mrna_819871	1910.0	1	79404179.0	79409831.0	4	63832979.0	63839205.0
RFC4-202	RFC4-201	1680.0	1	79410527.0	79424402.0	4	63839205.0	63852557.0
MASP1-203	MASP1-201	3310.0	1	79830664.0	79867703.0	4	64216756.0	64276949.0
mrna_39793	mrna_820175	1900.0	1	79928877.0	79942422.0	4	64344994.0	64348898.0
LPP-202	LPP-201	2820.0	1	80249812.0	80905809.0	4	64988261.0	65674476.0
P3H2-204	P3H2-201	3200.0	1	82159727.0	82318207.0	4	66668224.0	66825176.0
IL1RAP-202	IL1RAP-201	2660.0	1	82655034.0	82773267.0	4	67164079.0	67281933.0
mrna_40899	mrna_821265	522.0	1	85080407.0	85080990.0	4	69493523.0	69493895.0
OPA1-204	OPA1-205	4710.0	1	85316025.0	85434771.0	4	69729014.0	69825101.0
ATP13A3-204	ATP13A3-203	5860.0	1	85936078.0	85997118.0	4	70458297.0	70536287.0
TMEM44-201	TMEM44-202	1980.0	1	86098201.0	86131929.0	4	70639677.0	70665605.0
mrna_42129	XXYLT1-201	863.0	1	86590142.0	86711498.0	4	71096020.0	71287297.0
mrna_42143	mrna_822251	626.0	1	86681049.0	86682068.0	4	71173774.0	71174875.0
ACAP2-202	ACAP2-203	3610.0	1	86830687.0	86993012.0	4	71294762.0	71452787.0
mrna_42337	mrna_822568	942.0	1	87030867.0	87041279.0	4	71478136.0	71501487.0
DLG1-210	DLG1-206	4330.0	1	87460080.0	87655619.0	4	71925416.0	72099179.0
mrna_43018	mrna_823029	417.0	1	87741870.0	87744460.0	4	72185632.0	72188234.0
mrna_43056	NCBP2-202	727.0	1	87751529.0	87756646.0	4	72194191.0	72201752.0
