gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
CPNE4-201	CPNE4-202	2280.0	1	556876.0	947852.0	1	137734409.0	138346362.0
MRPL3-201	MRPL3-202	1220.0	1	962356.0	1004082.0	1	138384514.0	138464624.0
ASTE1-201	ASTE1-202	2020.0	1	1292598.0	1302680.0	1	138838912.0	138854789.0
ATP2C1-201	ATP2C1-205	3900.0	1	1300332.0	1435193.0	1	138871974.0	139025749.0
PIK3R4-201	PIK3R4-202	4950.0	1	1526961.0	1597381.0	1	151476131.0	151562593.0
COL6A5-201	COL6A5-203	4180.0	1	1786237.0	1867478.0	1	151781174.0	151905607.0
SH3BP5-202	SH3BP5-201	1510.0	1	2159294.0	2239400.0	1	152285107.0	152366651.0
EAF1-201	EAF1-202	1180.0	1	2286027.0	2297035.0	1	152450828.0	152463273.0
COLQ-202	COLQ-204	974.0	1	2300797.0	2335005.0	1	152481930.0	152524761.0
HACL1-201	HACL1-208	2170.0	1	2364489.0	2412554.0	1	152631217.0	152638556.0
BTD-202	BTD-204	419.0	1	2414911.0	2440515.0	1	152638982.0	152679233.0
ANKRD28-206	ANKRD28-209	3770.0	1	2520955.0	2584897.0	1	152698433.0	152916344.0
DPH3-201	DPH3-204	410.0	1	2891909.0	2897622.0	1	153261941.0	153266799.0
OXNAD1-201	OXNAD1-202	953.0	1	2904495.0	2957030.0	1	153274503.0	153318616.0
RFTN1-201	RFTN1-203	1560.0	1	2973475.0	3151443.0	1	153335289.0	153561415.0
mrna_25934	DAZL-201	1260.0	1	3198572.0	3215198.0	1	153624791.0	153663092.0
PLCL2-201	PLCL2-205	3920.0	1	3409011.0	3581804.0	1	153995610.0	154094774.0
TBC1D5-201	TBC1D5-205	1890.0	1	3654600.0	4106903.0	1	154328046.0	154616588.0
EFHB-201	EFHB-202	2910.0	1	5826088.0	5870123.0	1	157125036.0	157190483.0
KAT2B-201	KAT2B-203	2610.0	1	5961980.0	6043040.0	1	157277359.0	157376183.0
mrna_26692	SGO1-202	142.0	1	6061180.0	6061987.0	1	157392690.0	157411259.0
mrna_26929	mrna_83899	130.0	1	8687575.0	8687998.0	1	157479439.0	157480687.0
ACP3-202	ACP3-206	1240.0	1	11604619.0	11638688.0	1	137258371.0	137294357.0
DNAJC13-201	DNAJC13-203	9630.0	1	11675912.0	11785681.0	1	137051553.0	137215408.0
ACKR4-201	ACKR4-203	1390.0	1	11842037.0	11843090.0	1	136981397.0	136987573.0
UBA5-202	UBA5-203	1490.0	1	11892515.0	11907325.0	1	136874769.0	136905496.0
NPHP3-201	NPHP3-202	5020.0	1	11911144.0	11943083.0	1	136814810.0	136869560.0
