gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
mrna_299633,mrna_738616,1770.0,14,81373254.0,81374538.0,19,35327316.0,35366118.0
mrna_299685,PLD6-202,473.0,14,81518273.0,81519224.0,19,34939345.0,34947426.0
TNFRSF13B-201,TNFRSF13B-205,843.0,14,81536675.0,81563539.0,19,35096745.0,35117894.0
USP22-202,USP22-203,2150.0,14,81570190.0,81599466.0,19,35124083.0,35142701.0
COPS3-201,COPS3-203,1230.0,14,81644888.0,81660407.0,19,34886675.0,34915569.0
PEMT-201,PEMT-207,675.0,14,81668182.0,81692944.0,19,34782887.0,34816899.0
SREBF1-201,SREBF1-203,4160.0,14,81733075.0,81749668.0,19,34640004.0,34649168.0
TOM1L2-208,TOM1L2-209,2060.0,14,81758527.0,81852926.0,19,34556906.0,34626229.0
DRC3-201,DRC3-202,1950.0,14,81856740.0,81876185.0,19,34537448.0,34556492.0
ATPAF2-202,ATPAF2-203,1090.0,14,81877045.0,81889957.0,19,34524372.0,34536008.0
MYO15A-201,mrna_736420,3560.0,14,81937150.0,81984948.0,19,34445634.0,34467152.0
SHMT1-202,SHMT1-203,1900.0,14,81991807.0,82041378.0,19,34335013.0,34350203.0
PRPSAP2-203,PRPSAP2-204,1450.0,14,82070339.0,82107381.0,19,34276350.0,34296399.0
SLC5A10-203,SLC5A10-204,2280.0,14,82120267.0,82181940.0,19,34214708.0,34269734.0
FAM83G-201,FAM83G-202,2400.0,14,82130865.0,82157865.0,19,34230340.0,34259253.0
mrna_300954,GRAP-202,865.0,14,82183299.0,82202477.0,19,34193707.0,34214693.0
RNF112-201,RNF112-203,2420.0,14,82226566.0,82231825.0,19,34063775.0,34069266.0
EPN2-202,EPN2-204,2190.0,14,82241401.0,82296655.0,19,34117302.0,34168722.0
mrna_301132,B9D1-208,538.0,14,82301704.0,82310549.0,19,34106758.0,34115980.0
mrna_301161,SLC47A1-203,372.0,14,82335495.0,82389483.0,19,33985940.0,34016656.0
ALDH3A2-201,ALDH3A2-206,1860.0,14,82432360.0,82448128.0,19,33923080.0,33936339.0
SLC47A2-201,SLC47A2-203,682.0,14,82451774.0,82468735.0,19,33901242.0,33918122.0
ULK2-202,ULK2-205,2940.0,14,82513689.0,82577403.0,19,33821552.0,33860333.0
AKAP10-202,AKAP10-204,2600.0,14,82604447.0,82656914.0,19,33740770.0,33784070.0
mrna_301798,SPECC1-205,3710.0,14,82800693.0,82948838.0,19,33547714.0,33725718.0
ZSWIM7-201,ZSWIM7-202,364.0,14,82986858.0,82998884.0,19,33472400.0,33481997.0
mrna_301974,TTC19-202,1080.0,14,82999010.0,83021840.0,19,33443094.0,33480354.0
NCOR1-204,NCOR1-207,9410.0,14,83027846.0,83188306.0,19,33326800.0,33445205.0
PIGL-202,PIGL-203,433.0,14,83188723.0,83219546.0,19,33286737.0,33326707.0
mrna_302450,CENPV-202,776.0,14,83224581.0,83234861.0,19,33274532.0,33293538.0
LRRC75A-202,LRRC75A-201,1360.0,14,83320703.0,83354740.0,19,33175048.0,33209225.0
ZNF624-201,ZNF624-203,3540.0,14,83448746.0,83463345.0,19,33088964.0,33101752.0
ZNF286A-201,ZNF286A-205,1860.0,14,83476677.0,83484018.0,19,33071808.0,33086901.0
mrna_302729,mrna_732033,2380.0,14,83488704.0,83519116.0,19,32997044.0,33026561.0
mrna_302768,TVP23C-201,852.0,14,83527462.0,83547535.0,19,32983940.0,32993493.0
PMP22-202,PMP22-201,632.0,14,83714713.0,83741235.0,19,32755620.0,32779329.0
mrna_302971,HS3ST3B1-201,900.0,14,84290144.0,84291041.0,19,32225204.0,32266271.0
COX10-203,COX10-202,1570.0,14,84352794.0,84467026.0,19,32090869.0,32195708.0
