gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
SAMD11-209	SAMD11-204	2990.0	1	923922.0	944574.0	16	51526213.0	51545932.0
NOC2L-201	NOC2L-202	2090.0	1	944202.0	959256.0	16	51514458.0	51526316.0
KLHL17-201	KLHL17-203	2390.0	1	960583.0	965719.0	16	51498245.0	51512948.0
PLEKHN1-203	KLHL17-202	1450.0	1	966481.0	975865.0	16	51498245.0	51507492.0
PERM1-202	PERM1-201	691.0	1	975197.0	982093.0	16	51493179.0	51498783.0
ISG15-202	ISG15-201	364.0	1	1001137.0	1014540.0	16	51464069.0	51465109.0
AGRN-201	AGRN-206	6500.0	1	1020119.0	1056116.0	16	51422881.0	51462010.0
RNF223-201	RNF223-202	691.0	1	1070966.0	1074306.0	16	51404214.0	51408000.0
C1orf159-204	C16H1orf159-204	381.0	1	1081817.0	1116081.0	16	51391793.0	51400873.0
TTLL10-202	TTLL10-201	1120.0	1	1173879.0	1197936.0	16	51300201.0	51316209.0
TNFRSF4-204	TNFRSF4-203	612.0	1	1211325.0	1214153.0	16	51285832.0	51288674.0
B3GALT6-201	B3GALT6-202	1130.0	1	1232236.0	1235041.0	16	51264635.0	51270225.0
UBE2J2-208	UBE2J2-202	982.0	1	1253908.0	1273853.0	16	51239384.0	51251060.0
SCNN1D-205	SCNN1D-201	1200.0	1	1280435.0	1292025.0	16	51229754.0	51236428.0
ACAP3-202	ACAP3-203	2890.0	1	1292390.0	1307930.0	16	51218664.0	51229547.0
PUSL1-201	PUSL1-203	892.0	1	1308596.0	1311677.0	16	51211869.0	51214693.0
INTS11-247	INTS11-203	2270.0	1	1311584.0	1324687.0	16	51201648.0	51211949.0
CPTP-201	CPTP-203	696.0	1	1324801.0	1328896.0	16	51197667.0	51201111.0
DVL1-202	DVL1-201	1430.0	1	1335275.0	1349112.0	16	51180035.0	51192053.0
AURKAIP1-203	AURKAIP1-201	530.0	1	1373729.0	1375157.0	16	51147362.0	51151855.0
CCNL2-201	CCNL2-202	1850.0	1	1385710.0	1399335.0	16	51137599.0	51145733.0
ANKRD65-205	ANKRD65-202	980.0	1	1418419.0	1421276.0	16	51125123.0	51128060.0
VWA1-204	VWA1-202	546.0	1	1434860.0	1437459.0	16	51109184.0	51114780.0
ATAD3B-206	ATAD3A-204	2040.0	1	1471764.0	1497848.0	16	51085080.0	51101450.0
SSU72-201	mrna_519341	806.0	1	1541672.0	1574863.0	16	51053335.0	51078042.0
FNDC10-201	FNDC10-203	846.0	1	1598011.0	1600135.0	16	51040398.0	51051023.0
MIB2-214	MIB2-204	3430.0	1	1615495.0	1630604.0	16	51007095.0	51019798.0
MMP23B-204	MMP23-202	275.0	1	1632162.0	1633120.0	16	51003856.0	51006187.0
CDK11B-203	CDK11-203	2860.0	1	1635224.0	1659004.0	16	50986302.0	51003446.0
SLC35E2B-204	SLC35E2-201	579.0	1	1659528.0	1692724.0	16	50971135.0	50979510.0
GNB1-210	GNB1-201	933.0	1	1785284.0	1839238.0	16	50911454.0	50933400.0
TMEM52-203	TMEM52-201	354.0	1	1917589.0	1918797.0	16	50833310.0	50835251.0
