gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
CACNG5-202,CACNG5-201,1010.0,20,383936.0,390686.0,16,12182755.0,12218463.0
APOH-201,APOH-202,1310.0,20,848711.0,859805.0,16,11745670.0,11761126.0
AXIN2-202,AXIN2-201,2970.0,20,1366195.0,1395341.0,16,11259884.0,11290604.0
mrna_620195,AMZ2-201,1400.0,20,1784036.0,1790762.0,16,10888926.0,10895299.0
WIPI1-203,WIPI1-201,1690.0,20,1912330.0,1941822.0,16,10748674.0,10780154.0
FAM20A-201,FAM20A-202,1270.0,20,2002630.0,2048937.0,16,10664612.0,10704173.0
VCF1-202,VCF1-203,487.0,20,5578978.0,5593876.0,16,7041609.0,7054991.0
MTNAP1-202,MTNAP1-201,1000.0,20,5594210.0,5605500.0,16,7016131.0,7041608.0
SDK2-201,mrna_300914,7120.0,20,5684620.0,5946821.0,16,6706691.0,6928633.0
mrna_621540,RPL38-201,291.0,20,6395823.0,6400419.0,16,6305212.0,6309141.0
TTYH2-202,mrna_300845,922.0,20,6406743.0,6445288.0,16,6278870.0,6300695.0
mrna_621824,mrna_300628,253.0,20,6608697.0,6623324.0,16,6118840.0,6127069.0
mrna_621837,mrna_300581,457.0,20,6614664.0,6616121.0,16,6069463.0,6079547.0
CD300LF-201,mrna_300500,400.0,20,6696328.0,6714749.0,16,5936389.0,5953119.0
RAB37-204,RAB37-203,960.0,20,6737110.0,6743911.0,16,5913764.0,5922555.0
NHERF1-202,NHERF1-201,1450.0,20,6746143.0,6764408.0,16,5896489.0,5913038.0
NAT9-203,NAT9-201,841.0,20,6766786.0,6770411.0,16,5889595.0,5894278.0
TMEM104-202,TMEM104-201,2110.0,20,6770395.0,6829771.0,16,5840170.0,5889533.0
GRIN2C-201,mrna_300298,3620.0,20,6834876.0,6846633.0,16,5824586.0,5834610.0
FDXR-204,FDXR-201,2020.0,20,6853012.0,6862576.0,16,5809012.0,5818864.0
mrna_622371,OTOP2-201,607.0,20,6902677.0,6910039.0,16,5764797.0,5771333.0
OTOP3-202,OTOP3-201,2310.0,20,6911977.0,6923858.0,16,5753417.0,5762852.0
HID1-202,HID1-201,2730.0,20,6925123.0,6944270.0,16,5734160.0,5752134.0
MRPL58-202,MRPL58-201,775.0,20,6966875.0,6973850.0,16,5706351.0,5712784.0
mrna_622598,mrna_299921,659.0,20,6987369.0,6992175.0,16,5689608.0,5694940.0
SLC16A5-202,SLC16A5-201,1690.0,20,7035865.0,7048347.0,16,5642548.0,5654977.0
NT5C-201,mrna_299813,591.0,20,7066309.0,7067961.0,16,5625159.0,5627021.0
NUP85-202,NUP85-201,2700.0,20,7111323.0,7140371.0,16,5554647.0,5585341.0
GGA3-202,GGA3-201,2540.0,20,7134585.0,7150831.0,16,5539784.0,5553485.0
mrna_623036,MRPS7-201,982.0,20,7156760.0,7160004.0,16,5535858.0,5540099.0
MIF4GD-202,MIF4GD-201,974.0,20,7159908.0,7163818.0,16,5532013.0,5536015.0
TMEM94-204,TMEM94-203,5760.0,20,7328806.0,7346939.0,16,5381781.0,5400686.0
mrna_623763,mrna_299017,1360.0,20,7440223.0,7444785.0,16,5292843.0,5295926.0
RECQL5-201,RECQL5-202,3630.0,20,7446022.0,7482859.0,16,5222634.0,5291527.0
SAP30BP-202,SAP30BP-203,1310.0,20,7483020.0,7519481.0,16,5190855.0,5223979.0
ITGB4-202,ITGB4-201,7440.0,20,7528588.0,7558764.0,16,5156683.0,5183991.0
GALK1-201,GALK1-202,1590.0,20,7559147.0,7566445.0,16,5151371.0,5156516.0
mrna_624137,mrna_298454,617.0,20,7573705.0,7577267.0,16,5141414.0,5143275.0
UNC13D-202,UNC13D-201,1820.0,20,7615409.0,7629507.0,16,5091263.0,5103929.0
WBP2-203,mrna_298242,1050.0,20,7631835.0,7638427.0,16,5082174.0,5090101.0
MRPL38-201,MRPL38-202,1550.0,20,7672456.0,7678226.0,16,5043100.0,5048120.0
FBF1-202,FBF1-201,3680.0,20,7683445.0,7703356.0,16,5018900.0,5040319.0
ACOX1-202,ACOX1-203,609.0,20,7706255.0,7730402.0,16,4994257.0,5006127.0
mrna_624694,TEN1-201,487.0,20,7730531.0,7749737.0,16,4978525.0,4988737.0
SRP68-202,SRP68-201,2590.0,20,7779394.0,7808994.0,16,4921553.0,4950278.0
EXOC7-202,EXOC7-206,620.0,20,7820118.0,7838420.0,16,4891561.0,4893931.0
mrna_625261,QRICH2-201,1700.0,20,7970786.0,7978890.0,16,4749092.0,4777073.0
mrna_625294,mrna_297459,58.0,20,7988496.0,7988814.0,16,4759208.0,4759823.0
SPHK1-202,SPHK1-201,1730.0,20,8050231.0,8052521.0,16,4698163.0,4700740.0
ST6GALNAC2-202,ST6GALNAC2-201,1470.0,20,8199468.0,8216366.0,16,4544024.0,4558198.0
mrna_625689,mrna_297091,104.0,20,8297417.0,8319551.0,16,4472278.0,4473399.0
JMJD6-203,JMJD6-201,1730.0,20,8325665.0,8331304.0,16,4441647.0,4450080.0
SRSF2-201,mrna_297020,449.0,20,8339901.0,8340789.0,16,4433822.0,4437468.0
MFSD11-202,MFSD11-201,1940.0,20,8341684.0,8366540.0,16,4412480.0,4433182.0
MGAT5B-202,MGAT5B-201,3350.0,20,8410822.0,8477155.0,16,4303034.0,4369381.0
mrna_626032,mrna_296856,130.0,20,8601433.0,8601880.0,16,4203938.0,4204601.0
SEPTIN9-204,mrna_296657,957.0,20,8790535.0,8897238.0,16,3940482.0,3953716.0
TNRC6C-203,TNRC6C-201,5420.0,20,9280030.0,9343693.0,16,3556486.0,3625785.0
