gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
B3GNTL1-202,B3GNTL1-203,1200.0,16,189754.0,258913.0,19,49744755.0,49766195.0
FN3K-201,FN3K-202,1160.0,16,387966.0,396622.0,19,49917590.0,49926474.0
WDR45B-201,WDR45B-204,1530.0,16,414604.0,434942.0,19,49991651.0,50028477.0
NARF-201,NARF-202,1470.0,16,518101.0,534348.0,19,50101214.0,50118270.0
CYBC1-201,CYBC1-203,735.0,16,538564.0,544173.0,19,50123076.0,50129900.0
HEXD-201,HEXD-205,1670.0,16,544647.0,561455.0,19,50130089.0,50146056.0
OGFOD3-201,OGFOD3-202,1060.0,16,563253.0,579674.0,19,50145884.0,50161356.0
mrna_291252,mrna_766386,471.0,16,597514.0,598009.0,19,50205455.0,50244101.0
mrna_291258,mrna_766437,267.0,16,634699.0,636546.0,19,50224926.0,50237713.0
CD7-201,CD7-202,546.0,16,639702.0,642649.0,19,50542515.0,50546392.0
CSNK1D-202,CSNK1D-204,1700.0,16,662189.0,692249.0,19,50597273.0,50635458.0
SLC16A3-201,SLC16A3-204,1820.0,16,694536.0,699788.0,19,50634316.0,50648901.0
CCDC57-203,CCDC57-201,2480.0,16,727096.0,761566.0,19,50662234.0,50773155.0
DUS1L-201,DUS1L-202,1860.0,16,819596.0,825422.0,19,50810022.0,50815942.0
GPS1-201,GPS1-205,2130.0,16,825250.0,831099.0,19,50816148.0,50839119.0
mrna_291723,mrna_767661,784.0,16,846033.0,847456.0,19,50854599.0,50856548.0
DCXR-201,mrna_767743,860.0,16,849805.0,851770.0,19,50873449.0,50876120.0
mrna_291880,CENPX-201,212.0,16,864079.0,867906.0,19,50887774.0,50891455.0
ASPSCR1-201,ASPSCR1-202,1120.0,16,868989.0,896200.0,19,50892634.0,50920699.0
PYCR1-201,PYCR1-205,1280.0,16,925192.0,930325.0,19,50958680.0,50962683.0
SIRT7-201,SIRT7-203,1430.0,16,941874.0,948631.0,19,50976153.0,50982602.0
PCYT2-201,PCYT2-203,1460.0,16,949594.0,955598.0,19,50982925.0,50990081.0
mrna_292150,ANAPC11-202,381.0,16,960375.0,965503.0,19,50994950.0,51001457.0
P4HB-201,P4HB-206,1900.0,16,987685.0,997334.0,19,51034607.0,51044456.0
mrna_292306,MCRIP1-203,476.0,16,1004408.0,1010023.0,19,51055842.0,51058640.0
HGS-201,HGS-203,2930.0,16,1063982.0,1075863.0,19,51123897.0,51137055.0
ARL16-201,ARL16-202,403.0,16,1076058.0,1078968.0,19,51137122.0,51140167.0
FAAP100-202,FAAP100-203,2520.0,16,1152347.0,1158637.0,19,51224606.0,51233326.0
SLC38A10-201,SLC38A10-203,2450.0,16,1352333.0,1388298.0,19,51437243.0,51478703.0
TEPSIN-201,TEPSIN-202,1900.0,16,1393813.0,1402092.0,19,51482969.0,51494284.0
CEP131-201,CEP131-203,3740.0,16,1406188.0,1424270.0,19,51500855.0,51517013.0
AATK-201,AATK-204,4720.0,16,1438749.0,1470321.0,19,51556100.0,51577857.0
mrna_293285,BAIAP2-201,1400.0,16,1479337.0,1486633.0,19,51578605.0,51642187.0
CHMP6-201,CHMP6-208,756.0,16,1578117.0,1582588.0,19,51669523.0,51677262.0
RPTOR-201,RPTOR-203,5320.0,16,1595557.0,1846954.0,19,51928719.0,52010821.0
mrna_293623,mrna_770616,218.0,16,1902276.0,1902468.0,19,52068788.0,52069064.0
mrna_293637,ENDOV-201,976.0,16,1928738.0,1945626.0,19,52065530.0,52115028.0
SLC26A11-201,SLC26A11-203,2110.0,16,2057841.0,2075019.0,19,52408227.0,52424073.0
mrna_294389,SGSH-204,961.0,16,2079796.0,2083392.0,19,52424213.0,52431354.0
CARD14-201,CARD14-204,3540.0,16,2083365.0,2105598.0,19,52431316.0,52460270.0
TBC1D16-201,TBC1D16-204,3040.0,16,2194643.0,2250686.0,19,52564080.0,52627119.0
CBX8-201,CBX8-202,1610.0,16,2355492.0,2358159.0,19,52742919.0,52745101.0
RBFOX3-201,RBFOX3-205,1520.0,16,2852949.0,2875082.0,19,53310520.0,53334641.0
CANT1-201,CANT1-203,1550.0,16,2927308.0,2941407.0,19,53400144.0,53406888.0
mrna_295176,USP36-202,895.0,16,3043573.0,3057024.0,19,53522788.0,53553309.0
mrna_296198,THA1-202,1270.0,16,3408352.0,3414263.0,19,53918907.0,53925241.0
AFMID-201,AFMID-205,1060.0,16,3476693.0,3493991.0,19,53962844.0,53977676.0
mrna_296358,SYNGR2-202,904.0,16,3505866.0,3511906.0,19,53992202.0,54000718.0
TMC8-201,TMC8-202,2680.0,16,3522654.0,3532666.0,19,54014165.0,54024053.0
TNRC6C-201,TNRC6C-205,5760.0,16,3556486.0,3625785.0,19,54051409.0,54164578.0
mrna_296657,SEPTIN9-209,972.0,16,3940482.0,3953716.0,19,54497726.0,54676609.0
SEC14L1-201,SEC14L1-202,2780.0,16,4124827.0,4173019.0,19,54708177.0,54755623.0
MGAT5B-201,MGAT5B-202,3260.0,16,4303034.0,4369381.0,19,54906521.0,54972843.0
MFSD11-201,MFSD11-203,1900.0,16,4412480.0,4433182.0,19,55022172.0,55043048.0
mrna_297020,SRSF2-201,452.0,16,4433822.0,4437468.0,19,55043350.0,55047192.0
METTL23-201,METTL23-202,794.0,16,4436819.0,4440211.0,19,55046650.0,55052712.0
JMJD6-201,JMJD6-203,1300.0,16,4441647.0,4450080.0,19,55052562.0,55059537.0
mrna_297091,MXRA7-202,104.0,16,4472278.0,4473399.0,19,55065424.0,55088890.0
ST6GALNAC2-201,ST6GALNAC2-207,1170.0,16,4544024.0,4558198.0,19,55174988.0,55193764.0
RHBDF2-201,RHBDF2-202,3110.0,16,4618802.0,4631260.0,19,55260564.0,55274798.0
AANAT-201,mrna_775713,819.0,16,4632061.0,4633432.0,19,55275278.0,55282432.0
SPHK1-201,SPHK1-204,1510.0,16,4698163.0,4700740.0,19,55349375.0,55358657.0
PRPSAP1-201,PRPSAP1-202,1600.0,16,4722743.0,4746865.0,19,55387189.0,55413082.0
QRICH2-201,QRICH2-206,2710.0,16,4749092.0,4777073.0,19,55415833.0,55440943.0
EXOC7-206,EXOC7-209,610.0,16,4891561.0,4893931.0,19,55560869.0,55587377.0
SRP68-201,SRP68-203,2530.0,16,4921553.0,4950278.0,19,55592382.0,55617117.0
CDK3-201,CDK3-202,1290.0,16,4974257.0,4977815.0,19,55644967.0,55649433.0
ACOX1-203,ACOX1-205,591.0,16,4994257.0,5006127.0,19,55669923.0,55690180.0
FBF1-201,FBF1-205,3900.0,16,5018900.0,5040319.0,19,55694917.0,55716391.0
MRPL38-202,MRPL38-201,799.0,16,5043100.0,5048120.0,19,55721632.0,55726175.0
TRIM65-201,TRIM65-202,1370.0,16,5050624.0,5056945.0,19,55727620.0,55732304.0
TRIM47-201,TRIM47-202,2140.0,16,5060600.0,5065009.0,19,55741156.0,55745792.0
mrna_298242,WBP2-203,1070.0,16,5082174.0,5090101.0,19,55761583.0,55768270.0
UNC13D-201,UNC13D-202,4210.0,16,5091263.0,5103929.0,19,55770707.0,55785637.0
UNK-201,UNK-202,3350.0,16,5106878.0,5138080.0,19,55785614.0,55817832.0
mrna_298454,H3-3B-202,585.0,16,5141414.0,5143275.0,19,55821968.0,55823783.0
GALK1-202,GALK1-201,1510.0,16,5151371.0,5156516.0,19,55831325.0,55840035.0
ITGB4-201,ITGB4-204,7150.0,16,5156683.0,5183991.0,19,55840151.0,55872504.0
SAP30BP-203,SAP30BP-206,1270.0,16,5190855.0,5223979.0,19,55882234.0,55915923.0
mrna_299017,mrna_778848,1270.0,16,5292843.0,5295926.0,19,55946578.0,55960796.0
LLGL2-201,LLGL2-204,4050.0,16,5327106.0,5348035.0,19,55985229.0,56020253.0
CASKIN2-201,CASKIN2-202,4040.0,16,5366851.0,5379970.0,19,56030614.0,56043099.0
GRB2-203,GRB2-201,686.0,16,5442301.0,5500667.0,19,56117208.0,56181474.0
SLC25A19-201,SLC25A19-203,1280.0,16,5520220.0,5531053.0,19,56206334.0,56220076.0
MIF4GD-201,MIF4GD-204,851.0,16,5532013.0,5536015.0,19,56220042.0,56223185.0
MRPS7-201,MRPS7-203,939.0,16,5535858.0,5540099.0,19,56223096.0,56227452.0
GGA3-201,GGA3-202,2280.0,16,5539784.0,5553485.0,19,56226620.0,56240448.0
NUP85-201,NUP85-203,2490.0,16,5554647.0,5585341.0,19,56241105.0,56269508.0
JPT1-201,JPT1-202,648.0,16,5609485.0,5622490.0,19,56301993.0,56316476.0
mrna_299813,NT5C-201,319.0,16,5625159.0,5627021.0,19,56318657.0,56320652.0
ARMC7-201,ARMC7-202,731.0,16,5628269.0,5640479.0,19,56320750.0,56335696.0
SLC16A5-201,SLC16A5-202,1560.0,16,5642548.0,5654977.0,19,56338736.0,56354027.0
mrna_299881,mrna_780362,2340.0,16,5665395.0,5670702.0,19,56372335.0,56383217.0
KCTD2-201,KCTD2-202,1030.0,16,5675835.0,5689917.0,19,56386310.0,56398909.0
mrna_299921,ATP5PD-202,656.0,16,5689608.0,5694940.0,19,56398991.0,56403757.0
MRPL58-201,MRPL58-202,743.0,16,5706351.0,5712784.0,19,56419758.0,56426828.0
CDR2L-201,CDR2L-203,1930.0,16,5716362.0,5727159.0,19,56432207.0,56444030.0
OTOP3-201,OTOP3-202,2240.0,16,5753417.0,5762852.0,19,56476436.0,56489199.0
OTOP2-201,OTOP2-203,2200.0,16,5764797.0,5771333.0,19,56491762.0,56500202.0
FADS6-201,FADS6-202,1370.0,16,5791506.0,5804495.0,19,56527738.0,56536561.0
FDXR-201,FDXR-204,1820.0,16,5809012.0,5818864.0,19,56542705.0,56554187.0
mrna_300298,GRIN2C-201,3550.0,16,5824586.0,5834610.0,19,56554936.0,56571625.0
TMEM104-201,TMEM104-202,1980.0,16,5840170.0,5889533.0,19,56576200.0,56647156.0
NAT9-201,NAT9-202,819.0,16,5889595.0,5894278.0,19,56647589.0,56652832.0
NHERF1-201,NHERF1-202,1400.0,16,5896489.0,5913038.0,19,56653906.0,56671068.0
RAB37-203,RAB37-202,893.0,16,5913764.0,5922555.0,19,56672132.0,56680660.0
mrna_300500,mrna_781239,413.0,16,5936389.0,5953119.0,19,56700701.0,56721029.0
mrna_300581,mrna_781421,655.0,16,6069463.0,6079547.0,19,56891413.0,56894893.0
mrna_300628,CD300A-201,391.0,16,6118840.0,6127069.0,19,56935848.0,56953368.0
GPRC5C-201,GPRC5C-203,1770.0,16,6148525.0,6161788.0,19,56972161.0,56987901.0
BTBD17-201,BTBD17-202,952.0,16,6205879.0,6210389.0,19,57046397.0,57051574.0
KIF19-201,KIF19-202,3310.0,16,6211147.0,6234923.0,19,57082416.0,57110955.0
mrna_300845,TTYH2-203,893.0,16,6278870.0,6300695.0,19,57151007.0,57186696.0
RPL38-201,RPL38-202,291.0,16,6305212.0,6309141.0,19,57192443.0,57196476.0
mrna_300914,SDK2-201,6880.0,16,6706691.0,6928633.0,19,57666174.0,58015405.0
CDC42EP4-201,CDC42EP4-203,337.0,16,6992077.0,6993151.0,19,58036387.0,58058309.0
MTNAP1-201,MTNAP1-203,895.0,16,7016131.0,7041608.0,19,58085102.0,58095091.0
VCF1-203,VCF1-202,406.0,16,7041609.0,7054991.0,19,58095775.0,58114439.0
SLC39A11-201,SLC39A11-202,1240.0,16,7070926.0,7444327.0,19,58209286.0,58501781.0
SSTR2-201,SSTR2-202,1470.0,16,7086791.0,7087901.0,19,58152308.0,58159584.0
KCNJ2-201,KCNJ2-205,1600.0,16,9484789.0,9486073.0,19,60608077.0,60620435.0
KCNJ16-201,KCNJ16-208,1300.0,16,9520432.0,9521692.0,19,60650034.0,60733612.0
