gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
H2BC18-204	H2BC11-201	509.0	1	149782688.0	149812373.0	18	87262904.0	87263285.0
H2BC18-204	H2BC3-201	490.0	1	149782688.0	149812373.0	18	87714531.0	87714912.0
H3C14-201	mrna_503391	525.0	1	149840686.0	149841208.0	18	87154042.0	87154453.0
H3C14-201	mrna_503897	538.0	1	149840686.0	149841208.0	18	87597238.0	87597649.0
H3C14-201	mrna_504022	553.0	1	149840686.0	149841208.0	18	87712113.0	87712524.0
H2AC19-201	mrna_503437	462.0	1	149851060.0	149851594.0	18	87173682.0	87175081.0
H2AC19-201	mrna_503875	443.0	1	149851060.0	149851594.0	18	87584010.0	87585188.0
H4C15-203	mrna_503413	365.0	1	149854044.0	149861138.0	18	87159681.0	87159993.0
H4C15-203	mrna_503863	357.0	1	149854044.0	149861138.0	18	87579531.0	87579843.0
SNAP47-229	SNAP47-201	1180.0	1	227728199.0	227781821.0	2	11012516.0	11076359.0
JMJD4-205	JMJD4-201	1070.0	1	227731190.0	227735302.0	2	11007072.0	11012062.0
MRPL55-223	mrna_556920	112.0	1	228106678.0	228108325.0	2	11421849.0	11425156.0
GUK1-209	GUK1-202	661.0	1	228139961.0	228148840.0	2	11432299.0	11435152.0
OBSCN-209	mrna_557066	1230.0	1	228208043.0	228378876.0	2	11675332.0	11692523.0
TRIM11-204	TRIM11-202	1140.0	1	228393672.0	228405904.0	2	11827929.0	11834730.0
H2AC25-203	H2AC25-201	468.0	1	228434776.0	228457873.0	2	11789357.0	11789750.0
H2BC26-203	H2BC26-201	443.0	1	228458102.0	228458558.0	2	11788663.0	11789044.0
RAB4A-205	RAB4A-201	397.0	1	229271061.0	229305891.0	20	1023003.0	1071848.0
CCSAP-203	CCSAP-201	844.0	1	229321010.0	229342517.0	20	1089389.0	1105101.0
ACTA1-203	ACTA1-201	1430.0	1	229430364.0	229434100.0	20	1175680.0	1178592.0
NUP133-201	NUP133-203	4350.0	1	229440258.0	229508341.0	20	1195942.0	1247291.0
COG2-202	COG2-201	2650.0	1	230642480.0	230693982.0	20	2153777.0	2196468.0
AGT-209	AGT-201	1170.0	1	230690775.0	230714566.0	20	2200418.0	2207806.0
C1orf198-201	C1orf198-202	1130.0	1	230837118.0	230868521.0	20	2304693.0	2339102.0
ARV1-202	ARV1-201	629.0	1	230979093.0	231000595.0	20	2439114.0	2454284.0
GNPAT-203	GNPAT-201	751.0	1	231241206.0	231266091.0	20	2642013.0	2674589.0
SPRTN-204	SPRTN-201	843.0	1	231337103.0	231353132.0	20	2695348.0	2706210.0
mrna_367284	EGLN1-202	571.0	1	231363796.0	231528603.0	20	2716177.0	2771843.0
TSNAX-DISC1-208	TSNAX-201	610.0	1	231528652.0	231750619.0	20	2840098.0	2871680.0
DISC1-209	mrna_618808	465.0	1	231626789.0	232041272.0	20	2934256.0	3104258.0
SIPA1L2-202	SIPA1L2-201	5930.0	1	232397964.0	232561558.0	20	3567875.0	3711154.0
PCNX2-201	mrna_619102	1530.0	1	232983434.0	233295725.0	20	4194993.0	4422412.0
MAP3K21-203	MAP3K21-201	3330.0	1	233327723.0	233385148.0	20	4467637.0	4516337.0
KCNK1-202	KCNK1-201	1290.0	1	233614105.0	233672514.0	20	4619141.0	4684189.0
COA6-203	mrna_619422	308.0	1	234373455.0	234385080.0	20	5105907.0	5111944.0
TOMM20-201	mrna_619584	637.0	1	235109340.0	235128837.0	20	5607590.0	5619466.0
RBM34-201	mrna_619607	1390.0	1	235131182.0	235161250.0	20	5624249.0	5638095.0
ARID4B-211	ARID4B-202	2300.0	1	235131633.0	235194077.0	20	5642322.0	5771527.0
GGPS1-206	mrna_619770	1260.0	1	235327349.0	235343093.0	20	5771765.0	5781545.0
TBCE-257	TBCE-203	1310.0	1	235367359.0	235448966.0	20	5832634.0	5916238.0
GNG4-203	GNG4-201	302.0	1	235547684.0	235649784.0	20	6000042.0	6067885.0
LYST-201	LYST-204	14600.0	1	235661040.0	235866906.0	20	6199753.0	6296073.0
NID1-201	NID1-203	2490.0	1	235975829.0	236065090.0	20	6420200.0	6515455.0
GPR137B-203	GPR137B-201	522.0	1	236142504.0	236205198.0	20	6562253.0	6606588.0
ERO1B-202	ERO1B-203	1940.0	1	236215100.0	236281958.0	20	6617225.0	6679778.0
EDARADD-204	EDARADD-202	715.0	1	236348256.0	236484837.0	20	6764744.0	6814908.0
LGALS8-215	LGALS8-203	349.0	1	236517999.0	236539063.0	20	6849343.0	6873778.0
HEATR1-203	HEATR1-202	7790.0	1	236549004.0	236604516.0	20	6876653.0	6928815.0
ZP4-202	ZP4-201	1500.0	1	237877863.0	237890922.0	20	8206297.0	8213674.0
CHRM3-211	CHRM3-201	2340.0	1	239386567.0	239915450.0	20	9896716.0	9898489.0
SAMD11-209	SAMD11-203	2200.0	1	923922.0	944574.0	3	32155168.0	32175230.0
HES4-202	HES4-201	474.0	1	998961.0	1000172.0	3	32132888.0	32133832.0
C1orf159-204	mrna_736422	376.0	1	1081817.0	1116081.0	3	32070303.0	32079622.0
TNFRSF18-201	mrna_736333	346.0	1	1203507.0	1206571.0	3	31995555.0	31997294.0
TNFRSF4-204	TNFRSF4-201	669.0	1	1211325.0	1214153.0	3	31987514.0	31990191.0
UBE2J2-208	UBE2J2-201	811.0	1	1253908.0	1273853.0	3	31938703.0	31951848.0
INTS11-247	INTS11-202	2330.0	1	1311584.0	1324687.0	3	31897114.0	31910058.0
DVL1-202	DVL1-201	1470.0	1	1335275.0	1349112.0	3	31874599.0	31887309.0
MXRA8-202	MXRA8-203	1180.0	1	1352688.0	1358794.0	3	31867409.0	31871792.0
AURKAIP1-203	AURKAIP1-201	596.0	1	1373729.0	1375157.0	3	31850061.0	31861756.0
CCNL2-201	mrna_735703	1090.0	1	1385710.0	1399335.0	3	31842149.0	31848009.0
VWA1-204	mrna_735690	161.0	1	1434860.0	1437459.0	3	31838771.0	31840510.0
ATAD3B-206	ATAD3A-201	2060.0	1	1471764.0	1497848.0	3	31810192.0	31829155.0
SSU72-201	mrna_735566	806.0	1	1541672.0	1574863.0	3	31776662.0	31802685.0
MIB2-214	MIB2-201	3610.0	1	1615495.0	1630604.0	3	31722766.0	31729710.0
