gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
mrna_640361,mrna_738616,1780,20_2,63719,65003,19,35327316,35366118
MAP2K3-201,MAP2K3-202,1430,20_2,151322,173735,19,35263777,35273731
mrna_640477,TMEM11-203,754,20_2,207794,218604,19,35213220,35222511
USP22-201,USP22-203,2120,20_2,271068,306716,19,35124083,35142701
TNFRSF13B-201,TNFRSF13B-205,870,20_2,313363,339515,19,35096745,35117894
MPRIP-201,MPRIP-202,3850,20_2,391825,521886,19,34953306,35041729
PLD6-201,PLD6-202,778,20_2,537427,540477,19,34939345,34947426
FLCN-201,FLCN-202,2180,20_2,550981,568121,19,34916126,34932166
COPS3-202,COPS3-203,1680,20_2,573837,597175,19,34886675,34915569
MED9-201,MED9-202,527,20_2,658622,667061,19,34822994,34828048
mrna_641156,PEMT-207,919,20_2,673487,720020,19,34782887,34816899
SREBF1-202,SREBF1-203,4160,20_2,859111,875774,19,34640004,34649168
TOM1L2-206,TOM1L2-209,1870,20_2,881431,964235,19,34556906,34626229
DRC3-201,DRC3-202,1960,20_2,964706,987993,19,34537448,34556492
ATPAF2-201,ATPAF2-203,1120,20_2,988511,1001747,19,34524372,34536008
mrna_641908,mrna_736420,3070,20_2,1078633,1097885,19,34445634,34467152
LLGL1-201,LLGL1-202,3740,20_2,1131391,1146105,19,34398903,34414514
FLII-202,FLII-201,5030,20_2,1147138,1159293,19,34386691,34399630
MIEF2-201,MIEF2-204,1650,20_2,1160064,1164410,19,34381619,34386691
MIEF2-202,MIEF2-205,411,20_2,1160064,1162495,19,34383803,34386138
TOP3A-202,TOP3A-205,3480,20_2,1168429,1193906,19,34359099,34383196
SHMT1-202,SHMT1-203,1910,20_2,1205637,1227493,19,34335013,34350203
PRPSAP2-202,PRPSAP2-204,1450,20_2,1283973,1323040,19,34276350,34296399
SLC5A10-201,SLC5A10-204,2280,20_2,1335722,1390271,19,34214708,34269734
FAM83G-201,FAM83G-202,2830,20_2,1345923,1375095,19,34230340,34259253
mrna_642585,GRAP-202,865,20_2,1390271,1410619,19,34193707,34214693
B9D1-201,B9D1-208,786,20_2,1504745,1514541,19,34106758,34115980
MAPK7-201,MAPK7-202,2930,20_2,1531677,1536632,19,34088145,34090250
MFAP4-201,MFAP4-202,1030,20_2,1536874,1539657,19,34082570,34085106
RNF112-202,RNF112-203,2410,20_2,1555684,1561246,19,34063775,34069266
mrna_642913,SLC47A1-201,237,20_2,1617226,1626704,19,33998206,34016536
mrna_642947,SLC47A1-203,572,20_2,1617387,1666975,19,33985940,34016656
ALDH3A2-204,ALDH3A2-206,1880,20_2,1711656,1727384,19,33923080,33936339
ULK2-201,ULK2-205,3690,20_2,1798016,1862322,19,33821552,33860333
AKAP10-202,AKAP10-204,2670,20_2,1886903,1942134,19,33740770,33784070
SPECC1-201,SPECC1-205,2430,20_2,2082113,2148887,19,33547714,33725718
mrna_643526,TTC19-202,1030,20_2,2266947,2290729,19,33443094,33480354
NCOR1-202,NCOR1-207,6140,20_2,2294405,2436331,19,33326800,33445205
PIGL-202,PIGL-203,912,20_2,2439314,2494978,19,33286737,33326707
mrna_643931,CENPV-202,780,20_2,2508407,2520597,19,33274532,33293538
TRPV2-203,TRPV2-201,2610,20_2,2580378,2596589,19,33213079,33230706
ZNF624-201,ZNF624-203,3540,20_2,2720127,2740261,19,33088964,33101752
ZNF286A-201,ZNF286A-205,2020,20_2,2748358,2760593,19,33071808,33086901
TRIM16-201,TRIM16-202,1940,20_2,2784876,2804922,19,33033492,33049391
mrna_644346,mrna_732033,2700,20_2,2809453,2845411,19,32997044,33026561
mrna_644382,TVP23C-201,852,20_2,2846840,2864506,19,32983940,32993493
mrna_644430,CDRT4-203,386,20_2,2949433,2950773,19,32922555,32946876
COX10-201,COX10-202,1630,20_2,3659471,3769873,19,32090869,32195708
ARHGAP44-203,ARHGAP44-205,3200,20_2,4657255,4809871,19,31200638,31361770
MAP2K4-201,MAP2K4-204,1730,20_2,5326610,5431864,19,30648972,30752799
ZNF18-202,ZNF18-201,1540,20_2,5446496,5467454,19,30615620,30640005
SCO1-201,SCO1-205,1210,20_2,6435309,6450942,19,29652242,29667789
MYH8-201,MYH8-203,8230,20_2,6686438,6713967,19,29403329,29433093
GLP2R-201,GLP2R-203,2060,20_2,7080473,7128980,19,29014572,29024330
DHRS7C-201,DHRS7C-202,1250,20_2,7151994,7169159,19,28955393,28968715
USP43-201,USP43-202,3670,20_2,7176578,7237525,19,28895514,28947221
CFAP52-201,CFAP52-204,2220,20_2,7239905,7281531,19,28867610,28893265
PIK3R6-201,PIK3R6-204,2930,20_2,7847104,7880880,19,28294816,28332475
NDEL1-201,NDEL1-206,1480,20_2,8141366,8185469,19,28019956,28086180
RNF222-201,RNF222-203,754,20_2,8219405,8220041,19,27982873,27992165
RPL26-201,mrna_726197,797,20_2,8226970,8232092,19,27974413,27980283
KRBA2-201,KRBA2-203,1670,20_2,8233657,8238799,19,27968213,27973684
PFAS-203,PFAS-204,5320,20_2,8310709,8312837,19,27879994,27896904
CTC1-201,CTC1-203,4580,20_2,8320356,8339076,19,27852911,27873628
