gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
DOC2B-204,DOC2B-201,1710.0,17,142788.0,181650.0,20,46398237.0,46419326.0
RPH3AL-202,RPH3AL-201,1040.0,17,212388.0,352807.0,20,46250747.0,46369542.0
LIAT1-201,mrna_663107,300.0,17,410324.0,414666.0,20,46200881.0,46202190.0
VPS53-251,VPS53-202,2780.0,17,508667.0,685188.0,20,46036263.0,46165387.0
TLCD3A-206,TLCD3A-204,149.0,17,732411.0,740586.0,20,46015180.0,46021956.0
TIMM22-201,TIMM22-202,762.0,17,997128.0,1003671.0,20,45810210.0,45815174.0
ABR-202,ABR-205,1800.0,17,1003518.0,1179981.0,20,45784525.0,45807368.0
YWHAE-201,YWHAE-202,1160.0,17,1344274.0,1400222.0,20,46450204.0,46488865.0
CRK-202,CRK-201,927.0,17,1420688.0,1456223.0,20,46505121.0,46532668.0
MYO1C-219,MYO1C-201,4230.0,17,1464185.0,1485760.0,20,46539462.0,46562982.0
INPP5K-204,INPP5K-201,1530.0,17,1494576.0,1516612.0,20,46565297.0,46583977.0
SLC43A2-201,SLC43A2-202,2250.0,17,1569267.0,1628834.0,20,46633684.0,46669599.0
RILP-204,RILP-201,330.0,17,1646144.0,1649032.0,20,46687339.0,46690329.0
PRPF8-203,PRPF8-201,221.0,17,1650628.0,1651269.0,20,46691079.0,46727345.0
WDR81-207,WDR81-203,653.0,17,1716522.0,1731227.0,20,46757205.0,46768135.0
SERPINF2-201,SERPINF2-202,1790.0,17,1742835.0,1755265.0,20,46770272.0,46775453.0
SERPINF1-205,SERPINF1-201,353.0,17,1762028.0,1771169.0,20,46782876.0,46794596.0
DPH1-218,DPH1-201,1710.0,17,2030136.0,2043898.0,20,46979262.0,46990284.0
SRR-203,SRR-201,269.0,17,2303382.0,2317900.0,20,47238629.0,47252543.0
METTL16-201,METTL16-202,2140.0,17,2416048.0,2511888.0,20,47347145.0,47387567.0
PAFAH1B1-211,PAFAH1B1-201,1800.0,17,2593182.0,2685615.0,20,47462859.0,47544582.0
CLUH-201,CLUH-202,5160.0,17,2689385.0,2711633.0,20,47549657.0,47572484.0
RAP1GAP2-208,RAP1GAP2-203,3040.0,17,2755704.0,3034207.0,20,47636621.0,47816989.0
ASPA-204,ASPA-201,286.0,17,3472373.0,3476395.0,20,47873265.0,47891668.0
TRPV1-203,TRPV1-202,3070.0,17,3565443.0,3595831.0,20,47931200.0,47955985.0
mrna_1567603,SHPK-201,1730.0,17,3585148.0,3636249.0,20,47967578.0,47986086.0
