gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
H2BC18-201	H2BC11-201	503.0	1	108293939.0	108299441.0	18	87262904.0	87263285.0
H2BC18-201	H2BC3-201	487.0	1	108293939.0	108299441.0	18	87714531.0	87714912.0
mrna_62720	mrna_503391	531.0	1	108300459.0	108300870.0	18	87154042.0	87154453.0
mrna_62720	mrna_503897	534.0	1	108300459.0	108300870.0	18	87597238.0	87597649.0
mrna_62720	mrna_504022	550.0	1	108300459.0	108300870.0	18	87712113.0	87712524.0
mrna_62729	mrna_503413	349.0	1	108306037.0	108306349.0	18	87159681.0	87159993.0
mrna_62729	mrna_503863	340.0	1	108306037.0	108306349.0	18	87579531.0	87579843.0
mrna_62767	mrna_503437	449.0	1	108327805.0	108328354.0	18	87173682.0	87175081.0
mrna_62767	mrna_503875	424.0	1	108327805.0	108328354.0	18	87584010.0	87585188.0
mrna_888	mrna_736480	2340.0	1	165764.0	171954.0	3	32088263.0	32095227.0
mrna_990	RNF223-201	879.0	1	173747.0	189863.0	3	32085551.0	32086379.0
mrna_1003	mrna_736422	898.0	1	181813.0	190504.0	3	32070303.0	32079622.0
TTLL10-201	TTLL10-202	1840.0	1	253687.0	281371.0	3	32013400.0	32019291.0
mrna_1091	mrna_736333	466.0	1	287002.0	288607.0	3	31995555.0	31997294.0
SDF4-201	SDF4-202	1260.0	1	299933.0	312888.0	3	31970516.0	31984335.0
MXRA8-202	MXRA8-203	2020.0	1	409432.0	414113.0	3	31867409.0	31871792.0
mrna_1607	AURKAIP1-201	855.0	1	429120.0	430161.0	3	31850061.0	31861756.0
CCNL2-203	mrna_735703	1480.0	1	436546.0	441105.0	3	31842149.0	31848009.0
VWA1-201	mrna_735690	183.0	1	463693.0	468909.0	3	31838771.0	31840510.0
ATAD3A-203	ATAD3A-201	2630.0	1	475021.0	492841.0	3	31810192.0	31829155.0
mrna_1924	mrna_735566	1070.0	1	499799.0	524681.0	3	31776662.0	31802685.0
MIB2-202	MIB2-203	4130.0	1	568543.0	581003.0	3	31722800.0	31729680.0
mrna_2120	mrna_735330	3330.0	1	585865.0	598178.0	3	31705542.0	31717883.0
