gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
SAMD11-209	SAMD11-203	2220.0	1	923922.0	944574.0	1	40638.0	58208.0
KLHL17-201	mrna_313	2430.0	1	960583.0	965719.0	1	72329.0	77435.0
PLEKHN1-203	mrna_462	912.0	1	966481.0	975865.0	1	78235.0	85931.0
PERM1-202	mrna_501	198.0	1	975197.0	982093.0	1	87364.0	87790.0
HES4-202	HES4-201	484.0	1	998961.0	1000172.0	1	110591.0	111532.0
ISG15-202	ISG15-201	479.0	1	1001137.0	1014540.0	1	122433.0	123414.0
AGRN-201	AGRN-204	6890.0	1	1020119.0	1056116.0	1	139327.0	158568.0
RNF223-201	mrna_990	718.0	1	1070966.0	1074306.0	1	173747.0	189863.0
C1orf159-204	mrna_1003	386.0	1	1081817.0	1116081.0	1	181813.0	190504.0
TTLL10-202	TTLL10-201	1540.0	1	1173879.0	1197936.0	1	253687.0	281371.0
TNFRSF18-201	mrna_1091	367.0	1	1203507.0	1206571.0	1	287002.0	288607.0
TNFRSF4-204	TNFRSF4-201	686.0	1	1211325.0	1214153.0	1	294166.0	296840.0
SDF4-202	SDF4-201	1200.0	1	1216930.0	1232001.0	1	299933.0	312888.0
UBE2J2-208	UBE2J2-201	976.0	1	1253908.0	1273853.0	1	331742.0	345055.0
INTS11-247	INTS11-202	2350.0	1	1311584.0	1324687.0	1	372439.0	385274.0
DVL1-202	DVL1-201	1460.0	1	1335275.0	1349112.0	1	395629.0	406805.0
AURKAIP1-203	mrna_1607	590.0	1	1373729.0	1375157.0	1	429120.0	430161.0
CCNL2-201	CCNL2-203	1880.0	1	1385710.0	1399335.0	1	436546.0	441105.0
MRPL20-201	MRPL20-202	495.0	1	1401908.0	1407293.0	1	443551.0	446172.0
ANKRD65-205	mrna_1731	278.0	1	1418419.0	1421276.0	1	450483.0	452117.0
VWA1-204	VWA1-201	599.0	1	1434860.0	1437459.0	1	463693.0	468909.0
ATAD3B-206	ATAD3A-203	2060.0	1	1471764.0	1497848.0	1	475021.0	492841.0
SSU72-201	mrna_1924	813.0	1	1541672.0	1574863.0	1	499799.0	524681.0
MIB2-214	MIB2-202	3440.0	1	1615495.0	1630604.0	1	568543.0	581003.0
MMP23B-204	MMP23B-201	278.0	1	1632162.0	1633120.0	1	582676.0	584959.0
CDK11B-203	mrna_2120	2840.0	1	1635224.0	1659004.0	1	585865.0	598178.0
SLC35E2B-204	SLC35E2B-201	772.0	1	1659528.0	1692724.0	1	603054.0	614645.0
GNB1-210	GNB1-202	974.0	1	1785284.0	1839238.0	1	667186.0	756848.0
CALML6-202	CALML6-201	549.0	1	1915107.0	1917294.0	1	779835.0	781288.0
TMEM52-203	TMEM52-201	447.0	1	1917589.0	1918797.0	1	782069.0	783376.0
CFAP74-209	CFAP74-201	2650.0	1	1921950.0	2003837.0	1	786178.0	843936.0
GABRD-202	GABRD-201	1180.0	1	2019328.0	2030079.0	1	880334.0	890432.0
PRKCZ-201	PRKCZ-202	2200.0	1	2050410.0	2185395.0	1	926810.0	1003880.0
FAAP20-204	FAAP20-201	375.0	1	2184460.0	2194775.0	1	1006850.0	1011520.0
MORN1-203	mrna_2938	666.0	1	2321252.0	2391554.0	1	1140688.0	1160495.0
RER1-203	mrna_2995	432.0	1	2391774.0	2405442.0	1	1163553.0	1174389.0
PRXL2B-205	PRXL2B-202	742.0	1	2586749.0	2591467.0	1	1320059.0	1323225.0
PRDM16-206	PRDM16-201	4250.0	1	3069167.0	3434342.0	1	1633458.0	1955224.0
ARHGEF16-203	ARHGEF16-201	2420.0	1	3454664.0	3481113.0	1	1980045.0	1993692.0
MEGF6-202	MEGF6-201	4990.0	1	3487950.0	3611508.0	1	2001220.0	2099060.0
TP73-206	TP73-205	2250.0	1	3652515.0	3736201.0	1	2164585.0	2204320.0
CCDC27-202	CCDC27-201	810.0	1	3752444.0	3771645.0	1	2213525.0	2227429.0
SMIM1-204	SMIM1-201	240.0	1	3772748.0	3775956.0	1	2230923.0	2231470.0
CEP104-226	CEP104-201	2800.0	1	3812085.0	3857211.0	1	2252358.0	2304629.0
DFFB-211	DFFB-201	226.0	1	3857266.0	3860490.0	1	2304201.0	2321725.0
AJAP1-202	AJAP1-201	1390.0	1	4654608.0	4792534.0	1	2909014.0	3014589.0
NPHP4-201	NPHP4-203	4360.0	1	5862810.0	5992425.0	1	3975007.0	4088142.0
KCNAB2-225	KCNAB2-205	593.0	1	5990926.0	6090419.0	1	4164176.0	4195350.0
RPL22-201	mrna_4701	496.0	1	6185019.0	6199595.0	1	4269709.0	4277835.0
HES3-202	HES3-201	563.0	1	6244178.0	6245578.0	1	4314926.0	4315964.0
GPR153-201	GPR153-202	2140.0	1	6247352.0	6261098.0	1	4317745.0	4328884.0
ACOT7-209	ACOT7-201	1350.0	1	6264268.0	6393361.0	1	4331971.0	4430979.0
HES2-203	HES2-202	193.0	1	6412417.0	6424670.0	1	4438776.0	4440007.0
ESPN-216	ESPN-202	3290.0	1	6424775.0	6460944.0	1	4444679.0	4472674.0
TNFRSF25-221	TNFRSF25-201	1200.0	1	6460785.0	6465470.0	1	4476319.0	4479889.0
PLEKHG5-215	PLEKHG5-202	3980.0	1	6467121.0	6485469.0	1	4481182.0	4532415.0
KLHL21-201	KLHL21-202	2410.0	1	6590723.0	6602869.0	1	4580507.0	4588613.0
DNAJC11-204	DNAJC11-203	952.0	1	6634167.0	6681037.0	1	4612734.0	4679170.0
PER3-202	PER3-201	2550.0	1	7784290.0	7845177.0	1	5633951.0	5688767.0
UTS2-203	UTS2-201	345.0	1	7843082.0	7853512.0	1	5694539.0	5699449.0
PARK7-208	PARK7-202	685.0	1	7954290.0	7985052.0	1	5809216.0	5825731.0
ERRFI1-204	ERRFI1-201	106.0	1	8004403.0	8026283.0	1	5852060.0	5865702.0
SLC45A1-202	SLC45A1-201	2660.0	1	8318113.0	8344165.0	1	6109529.0	6125707.0
RERE-201	RERE-202	3240.0	1	8352396.0	8817465.0	1	6135452.0	6394115.0
ENO1-201	ENO1-202	1630.0	1	8860999.0	8878686.0	1	6587347.0	6601563.0
CA6-206	CA6-201	381.0	1	8945866.0	8967745.0	1	6650733.0	6670267.0
SLC2A5-202	SLC2A5-201	1630.0	1	9035105.0	9069635.0	1	6722381.0	6745718.0
TMEM201-202	TMEM201-201	2380.0	1	9588910.0	9614877.0	1	7158291.0	7182376.0
CTNNBIP1-203	CTNNBIP1-201	343.0	1	9848275.0	9910269.0	1	7373266.0	7399819.0
LZIC-205	LZIC-201	614.0	1	9922112.0	9935620.0	1	7438365.0	7448790.0
NMNAT1-202	NMNAT1-201	489.0	1	9943427.0	9981766.0	1	7448844.0	7473797.0
RBP7-202	RBP7-201	557.0	1	9997205.0	10016020.0	1	7485162.0	7504914.0
UBE4B-201	UBE4B-205	4800.0	1	10032831.0	10180367.0	1	7526161.0	7640368.0
KIF1B-205	KIF1B-203	4760.0	1	10210569.0	10308597.0	1	7664040.0	7752906.0
PGD-207	PGD-201	784.0	1	10398591.0	10411552.0	1	7822774.0	7838162.0
DFFA-202	DFFA-201	1100.0	1	10456521.0	10472529.0	1	7875269.0	7887354.0
PEX14-201	PEX14-203	1510.0	1	10474949.0	10630758.0	1	7899275.0	8029356.0
CASZ1-202	CASZ1-201	4590.0	1	10636603.0	10796646.0	1	8047154.0	8092785.0
TARDBP-205	TARDBP-201	840.0	1	11012343.0	11020489.0	1	8355441.0	8366003.0
MASP2-207	mrna_8308	1140.0	1	11022008.0	11047207.0	1	8367311.0	8370016.0
EXOSC10-201	EXOSC10-202	3210.0	1	11066617.0	11099869.0	1	8396592.0	8417129.0
MTOR-212	mrna_8690	3080.0	1	11106534.0	11262530.0	1	8521654.0	8546961.0
UBIAD1-202	UBIAD1-201	773.0	1	11273197.0	11288434.0	1	8552737.0	8566706.0
FBXO2-206	FBXO2-201	1030.0	1	11637017.0	11650770.0	1	8882030.0	8887680.0
FBXO44-201	FBXO44-202	901.0	1	11654374.0	11662289.0	1	8887786.0	8893692.0
MAD2L2-213	MAD2L2-202	799.0	1	11657229.0	11691545.0	1	8910252.0	8915559.0
AGTRAP-204	AGTRAP-201	337.0	1	11736083.0	11750710.0	1	8961181.0	8977693.0
MTHFR-205	MTHFR-201	2630.0	1	11785722.0	11805413.0	1	9007722.0	9018360.0
CLCN6-201	CLCN6-202	3360.0	1	11806095.0	11843143.0	1	9020736.0	9050109.0
NPPA-202	NPPA-201	530.0	1	11845708.0	11847783.0	1	9053231.0	9054310.0
