gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
SAMD11-201	SAMD11-206	563.0	1	135845.0	156096.0	13	185471.0	196293.0
PLEKHN1-202	PLEKHN1-201	1970.0	1	176292.0	184803.0	13	225647.0	232556.0
mrna_492	PERM1-201	217.0	1	185224.0	185650.0	13	233044.0	237502.0
AGRN-203	AGRN-201	7370.0	1	235600.0	254471.0	13	275074.0	295082.0
mrna_823	mrna_197337	712.0	1	261569.0	267872.0	13	302198.0	305660.0
mrna_944	mrna_197473	495.0	1	362756.0	367517.0	13	388533.0	394051.0
C1QTNF12-201	Adipolin-201	757.0	1	417172.0	421022.0	13	446994.0	451620.0
ACAP3-202	ACAP3-205	2850.0	1	447899.0	460959.0	13	477176.0	486274.0
INTS11-201	INTS11-202	579.0	1	464525.0	477824.0	13	495004.0	505585.0
mrna_1520	AURKAIP1-201	648.0	1	521341.0	522777.0	13	548823.0	550465.0
CCNL2-202	CCNL2-201	2010.0	1	524654.0	532908.0	13	552547.0	560685.0
MRPL20-202	Cyclin-L2-201	609.0	1	535643.0	538260.0	13	563291.0	566327.0
ANKRD65-201	mrna_198253	447.0	1	540534.0	545608.0	13	569647.0	572412.0
TMEM88B-201	mrna_198269	503.0	1	546869.0	548395.0	13	574285.0	577002.0
mrna_1664	mrna_198295	130.0	1	555321.0	560678.0	13	582500.0	584181.0
ATAD3A-202	ATAD3A-201	2310.0	1	566105.0	582543.0	13	593363.0	611156.0
TMEM240-201	mrna_198358	250.0	1	583122.0	588437.0	13	616384.0	616769.0
mrna_1793	mrna_198373	400.0	1	589322.0	615235.0	13	618096.0	634810.0
mrna_2036	MMP23B-201	1090.0	1	666732.0	669026.0	13	684660.0	709668.0
mrna_2058	mrna_198663	1730.0	1	669951.0	686895.0	13	709822.0	721592.0
SLC35E2B-202	SLC35E2B-201	1410.0	1	687713.0	710364.0	13	724554.0	736021.0
mrna_2591	PRKCZ-201	2260.0	1	1001945.0	1078731.0	13	958583.0	1051773.0
mrna_2792	mrna_199411	693.0	1	1214561.0	1235298.0	13	1185580.0	1206710.0
RER1-202	RER1-206	462.0	1	1238443.0	1251007.0	13	1209697.0	1218936.0
PRXL2B-203	PRXL2B-201	792.0	1	1383250.0	1386803.0	13	1376043.0	1379094.0
