gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
SAMD11-203	SAMD11-201	2850.0	1	40638.0	58208.0	1	135845.0	156096.0
mrna_313	KLHL17-201	2880.0	1	72329.0	77435.0	1	169980.0	176272.0
mrna_462	PLEKHN1-202	2390.0	1	78235.0	85931.0	1	176292.0	184803.0
mrna_501	mrna_492	251.0	1	87364.0	87790.0	1	185224.0	185650.0
AGRN-204	AGRN-203	8950.0	1	139327.0	158568.0	1	235600.0	254471.0
mrna_888	mrna_823	2420.0	1	165764.0	171954.0	1	261569.0	267872.0
mrna_915	mrna_852	843.0	1	166124.0	169220.0	1	262078.0	264961.0
mrna_990	RNF223-201	1020.0	1	173747.0	189863.0	1	269933.0	270692.0
TTLL10-201	mrna_944	1510.0	1	253687.0	281371.0	1	362756.0	367517.0
mrna_1091	TNFRSF18-201	682.0	1	287002.0	288607.0	1	378612.0	381248.0
INTS11-202	INTS11-201	2280.0	1	372439.0	385274.0	1	464525.0	477824.0
MXRA8-202	MXRA8-201	1940.0	1	409432.0	414113.0	1	501964.0	505252.0
mrna_1607	mrna_1520	874.0	1	429120.0	430161.0	1	521341.0	522777.0
CCNL2-203	CCNL2-202	2390.0	1	436546.0	441105.0	1	524654.0	532908.0
mrna_1731	ANKRD65-201	443.0	1	450483.0	452117.0	1	540534.0	545608.0
VWA1-201	mrna_1664	1780.0	1	463693.0	468909.0	1	555321.0	560678.0
ATAD3A-203	ATAD3A-202	2760.0	1	475021.0	492841.0	1	566105.0	582543.0
mrna_1924	mrna_1793	1050.0	1	499799.0	524681.0	1	589322.0	615235.0
MIB2-202	MIB2-201	3760.0	1	568543.0	581003.0	1	652499.0	665138.0
MMP23B-201	mrna_2036	1160.0	1	582676.0	584959.0	1	666732.0	669026.0
mrna_2120	mrna_2058	3290.0	1	585865.0	598178.0	1	669951.0	686895.0
GNB1-202	GNB1-201	1550.0	1	667186.0	756848.0	1	745818.0	804849.0
mrna_2457	ISCU-201	647.0	1	747894.0	749041.0	1	829269.0	830422.0
