gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
SAMD11-203	SAMD11-206	576.0	1	40638.0	58208.0	13	185471.0	196293.0
mrna_313	KLHL17-201	2560.0	1	72329.0	77435.0	13	219380.0	224778.0
mrna_340	PLEKHN1-201	1970.0	1	73931.0	85653.0	13	225647.0	232556.0
mrna_501	PERM1-201	220.0	1	87364.0	87790.0	13	233044.0	237502.0
AGRN-204	AGRN-201	7620.0	1	139327.0	158568.0	13	275074.0	295082.0
mrna_888	mrna_197337	780.0	1	165764.0	171954.0	13	302198.0	305660.0
mrna_990	RNF223-201	852.0	1	173747.0	189863.0	13	311019.0	311784.0
mrna_1003	C1orf159-201	674.0	1	181813.0	190504.0	13	315711.0	324803.0
TTLL10-201	mrna_197473	492.0	1	253687.0	281371.0	13	388533.0	394051.0
mrna_1091	TNFRSF18-201	558.0	1	287002.0	288607.0	13	407276.0	410425.0
C1QTNF12-201	Adipolin-201	742.0	1	325888.0	329913.0	13	446994.0	451620.0
ACAP3-202	ACAP3-205	2930.0	1	355590.0	369474.0	13	477176.0	486274.0
MXRA8-202	MXRA8-201	1780.0	1	409432.0	414113.0	13	531574.0	536038.0
mrna_1607	AURKAIP1-201	661.0	1	429120.0	430161.0	13	548823.0	550465.0
CCNL2-203	CCNL2-201	2030.0	1	436546.0	441105.0	13	552547.0	560685.0
MRPL20-202	Cyclin-L2-201	606.0	1	443551.0	446172.0	13	563291.0	566327.0
mrna_1731	mrna_198253	370.0	1	450483.0	452117.0	13	569647.0	572412.0
TMEM88B-201	mrna_198269	509.0	1	455573.0	457068.0	13	574285.0	577002.0
VWA1-201	mrna_198295	168.0	1	463693.0	468909.0	13	582500.0	584181.0
ATAD3A-203	ATAD3A-201	2330.0	1	475021.0	492841.0	13	593363.0	611156.0
TMEM240-201	mrna_198358	247.0	1	492885.0	498941.0	13	616384.0	616769.0
mrna_1924	mrna_198373	400.0	1	499799.0	524681.0	13	618096.0	634810.0
MIB2-202	MIB2-203	2900.0	1	568543.0	581003.0	13	671402.0	683729.0
mrna_2203	mrna_198663	1740.0	1	585865.0	602443.0	13	709822.0	721592.0
SLC35E2B-202	SLC35E2B-201	1190.0	1	603309.0	625962.0	13	724554.0	736021.0
GNB1-202	GNB1-201	1330.0	1	667186.0	756848.0	13	769112.0	803680.0
PRKCZ-202	PRKCZ-201	2300.0	1	926810.0	1003880.0	13	958583.0	1051773.0
mrna_2938	mrna_199411	712.0	1	1140688.0	1160495.0	13	1185580.0	1206710.0
mrna_3010	RER1-206	462.0	1	1163553.0	1174479.0	13	1209697.0	1218936.0
