gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
SAMD11-209	SAMD11-201	2930.0	1	923922.0	944574.0	1	135845.0	156096.0
PLEKHN1-203	PLEKHN1-202	1630.0	1	966481.0	975865.0	1	176292.0	184803.0
PERM1-202	mrna_492	194.0	1	975197.0	982093.0	1	185224.0	185650.0
HES4-202	HES4-201	694.0	1	998961.0	1000172.0	1	205956.0	207897.0
ISG15-202	ISG15-201	470.0	1	1001137.0	1014540.0	1	218593.0	220153.0
AGRN-201	AGRN-203	6760.0	1	1020119.0	1056116.0	1	235600.0	254471.0
TTLL10-202	mrna_944	1120.0	1	1173879.0	1197936.0	1	362756.0	367517.0
TNFRSF4-204	TNFRSF4-201	699.0	1	1211325.0	1214153.0	1	385736.0	388428.0
SDF4-202	SDF4-201	1240.0	1	1216930.0	1232001.0	1	391501.0	404017.0
UBE2J2-208	UBE2J2-201	991.0	1	1253908.0	1273853.0	1	422894.0	436767.0
INTS11-247	INTS11-201	1800.0	1	1311584.0	1324687.0	1	464525.0	477824.0
DVL1-202	DVL1-201	884.0	1	1335275.0	1349112.0	1	487131.0	499391.0
MXRA8-202	MXRA8-201	1100.0	1	1352688.0	1358794.0	1	501964.0	505252.0
AURKAIP1-203	mrna_1520	612.0	1	1373729.0	1375157.0	1	521341.0	522777.0
CCNL2-201	CCNL2-202	1850.0	1	1385710.0	1399335.0	1	524654.0	532908.0
MRPL20-201	MRPL20-202	495.0	1	1401908.0	1407293.0	1	535643.0	538260.0
ANKRD65-205	ANKRD65-201	887.0	1	1418419.0	1421276.0	1	540534.0	545608.0
VWA1-204	mrna_1664	495.0	1	1434860.0	1437459.0	1	555321.0	560678.0
ATAD3B-206	ATAD3A-202	2050.0	1	1471764.0	1497848.0	1	566105.0	582543.0
SSU72-201	mrna_1793	800.0	1	1541672.0	1574863.0	1	589322.0	615235.0
MIB2-214	MIB2-201	3580.0	1	1615495.0	1630604.0	1	652499.0	665138.0
MMP23B-204	mrna_2004	275.0	1	1632162.0	1633120.0	1	666732.0	668922.0
CDK11B-203	mrna_2058	2810.0	1	1635224.0	1659004.0	1	669951.0	686895.0
SLC35E2B-204	SLC35E2B-202	756.0	1	1659528.0	1692724.0	1	687713.0	710364.0
GNB1-210	GNB1-201	952.0	1	1785284.0	1839238.0	1	745818.0	804849.0
CALML6-202	CALML6-201	563.0	1	1915107.0	1917294.0	1	860634.0	861634.0
TMEM52-203	TMEM52-201	345.0	1	1917589.0	1918797.0	1	862420.0	863943.0
CFAP74-209	CFAP74-201	3400.0	1	1921950.0	2003837.0	1	866439.0	923303.0
GABRD-202	GABRD-201	1180.0	1	2019328.0	2030079.0	1	956272.0	966383.0
PRKCZ-201	mrna_2591	2130.0	1	2050410.0	2185395.0	1	1001945.0	1078731.0
FAAP20-204	FAAP20-201	349.0	1	2184460.0	2194775.0	1	1080438.0	1086749.0
MORN1-203	mrna_2792	596.0	1	2321252.0	2391554.0	1	1214561.0	1235298.0
RER1-203	RER1-202	444.0	1	2391774.0	2405442.0	1	1238443.0	1251007.0
PRXL2B-205	PRXL2B-203	731.0	1	2586749.0	2591467.0	1	1383250.0	1386803.0
PRDM16-206	PRDM16-201	4010.0	1	3069167.0	3434342.0	1	1793389.0	2005856.0
ARHGEF16-203	ARHGEF16-201	2360.0	1	3454664.0	3481113.0	1	2030112.0	2043410.0
MEGF6-202	MEGF6-201	4970.0	1	3487950.0	3611508.0	1	2050858.0	2153887.0
TPRG1L-202	TPRG1L-201	906.0	1	3625014.0	3630127.0	1	2166461.0	2171072.0
WRAP73-202	WRAP73-201	1380.0	1	3630766.0	3650058.0	1	2171630.0	2188592.0
TP73-206	TP73-204	2230.0	1	3652515.0	3736201.0	1	2221384.0	2257688.0
CCDC27-202	CCDC27-201	751.0	1	3752444.0	3771645.0	1	2281376.0	2295779.0
SMIM1-204	SMIM1-201	218.0	1	3772748.0	3775956.0	1	2297011.0	2300629.0
CEP104-226	CEP104-201	2790.0	1	3812085.0	3857211.0	1	2325897.0	2384238.0
