gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
DOC2B-204,DOC2B-202,1730.0,17,142788.0,181650.0,19,22472008.0,22495826.0
RPH3AL-202,RPH3AL-204,1060.0,17,212388.0,352807.0,19,22322594.0,22438109.0
VPS53-251,VPS53-206,2740.0,17,508667.0,685188.0,19,22125876.0,22249140.0
TLCD3A-206,TLCD3A-205,145.0,17,732411.0,740586.0,19,22099141.0,22106826.0
GLOD4-201,GLOD4-202,1000.0,17,759329.0,782279.0,19,22065121.0,22082900.0
NXN-201,NXN-202,1810.0,17,799309.0,979776.0,19,21889157.0,22060788.0
TIMM22-201,TIMM22-202,765.0,17,997128.0,1003671.0,19,21864309.0,21870398.0
ABR-202,ABR-210,3570.0,17,1003518.0,1179981.0,19,21787158.0,21862869.0
BHLHA9-201,BHLHA9-202,555.0,17,1270443.0,1271815.0,19,21626534.0,21631380.0
YWHAE-201,YWHAE-202,1160.0,17,1344274.0,1400222.0,19,22514069.0,22548288.0
CRK-202,CRK-201,920.0,17,1420688.0,1456223.0,19,22566858.0,22587142.0
MYO1C-219,MYO1C-204,4140.0,17,1464185.0,1485760.0,19,22596198.0,22615258.0
INPP5K-204,INPP5K-202,1440.0,17,1494576.0,1516612.0,19,22622694.0,22641597.0
PITPNA-201,PITPNA-204,1110.0,17,1517717.0,1562792.0,19,22655962.0,22670518.0
RILP-204,RILP-201,519.0,17,1646144.0,1649032.0,19,22749573.0,22753330.0
PRPF8-203,PRPF8-204,221.0,17,1650628.0,1651269.0,19,22753896.0,22786458.0
WDR81-207,WDR81-201,601.0,17,1716522.0,1731227.0,19,22819815.0,22831944.0
SERPINF2-201,SERPINF2-204,1660.0,17,1742835.0,1755265.0,19,22833341.0,22840454.0
SERPINF1-205,SERPINF1-202,353.0,17,1762028.0,1771169.0,19,22848230.0,22859852.0
SMYD4-201,SMYD4-204,2360.0,17,1779484.0,1829902.0,19,22860571.0,22900285.0
RPA1-203,RPA1-202,422.0,17,1829701.0,1872483.0,19,22900173.0,22948502.0
DPH1-218,DPH1-203,1640.0,17,2030136.0,2043898.0,19,23056918.0,23064338.0
SMG6-201,SMG6-202,5470.0,17,2059842.0,2303785.0,19,23080157.0,23281367.0
SRR-203,SRR-202,267.0,17,2303382.0,2317900.0,19,23279265.0,23301740.0
MNT-201,MNT-202,2120.0,17,2384072.0,2401060.0,19,23350860.0,23368335.0
METTL16-201,METTL16-206,2090.0,17,2416048.0,2511888.0,19,23381151.0,23453241.0
PAFAH1B1-211,PAFAH1B1-202,1820.0,17,2593182.0,2685615.0,19,23562488.0,23581162.0
RAP1GAP2-208,RAP1GAP2-205,3010.0,17,2755704.0,3034207.0,19,23721945.0,23862559.0
OR1D2-201,OR1D3B-201,1110.0,17,3088483.0,3104422.0,19,23878843.0,23879785.0
OR1G1-201,OR1G4-201,995.0,17,3126609.0,3127551.0,19,23914678.0,23915620.0
OR3A2-202,OR3A10-201,1070.0,17,3276176.0,3386308.0,19,24085382.0,24086330.0
OR1E1-201,OR1E2B-202,1100.0,17,3397103.0,3398410.0,19,24138826.0,24145149.0
SPATA22-203,SPATA22-205,1250.0,17,3440018.0,3471746.0,19,24198095.0,24212643.0
ASPA-204,ASPA-201,305.0,17,3472373.0,3476395.0,19,24214213.0,24235454.0
TRPV3-202,TRPV3-201,1170.0,17,3510501.0,3535677.0,19,24241877.0,24273684.0
TRPV1-203,TRPV1-202,2960.0,17,3565443.0,3595831.0,19,24278365.0,24307311.0
mrna_1567603,SHPK-201,1710.0,17,3585148.0,3636249.0,19,24321971.0,24339677.0
CTNS-212,CTNS-203,1320.0,17,3636458.0,3661448.0,19,24340200.0,24360349.0
TAX1BP3-201,TAX1BP3-203,525.0,17,3662894.0,3668578.0,19,24360139.0,24365269.0
P2RX5-TAX1BP3-201,P2RX5-202,1040.0,17,3663062.0,3696194.0,19,24371124.0,24396593.0
ITGAE-201,P2RX5-205,3450.0,17,3714627.0,3801188.0,19,24392308.0,24452845.0
