gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
CEP112-203,CEP112-202,4120,20,1159765,1313425,20_2,57580209,58003587
AXIN2-202,mrna_699691,1220,20,1366195,1395341,20_2,57502060,57509089
RGS9-201,RGS9-202,2930,20,1604730,1694017,20_2,57232618,57296839
mrna_620195,AMZ2-203,1590,20,1784036,1790762,20_2,57113478,57119911
WIPI1-203,WIPI1-204,2050,20,1912330,1941822,20_2,56961826,57000155
ABCA5-201,ABCA5-202,7370,20,2335592,2387326,20_2,56652585,56716234
SOX9-202,SOX9-201,1170,20,4734952,4738570,20_2,54248484,54253994
SLC39A11-201,SLC39A11-203,1340,20,5138490,5482819,20_2,53497794,53844263
COG1-201,COG1-202,4110,20,5564082,5577969,20_2,53401586,53414803
VCF1-202,VCF1-201,923,20,5578978,5593876,20_2,53386230,53402751
MTNAP1-202,MTNAP1-203,2420,20,5594210,5605500,20_2,53372054,53383568
mrna_621540,RPL38-201,323,20,6395823,6400419,20_2,52607260,52611574
GPRC5C-201,GPRC5C-202,2040,20,6576686,6592233,20_2,52424481,52437507
mrna_621824,mrna_697726,455,20,6608697,6623324,20_2,52390573,52404784
mrna_621837,mrna_697738,538,20,6614664,6616121,20_2,52399320,52400426
RAB37-204,RAB37-201,1030,20,6737110,6743911,20_2,52284176,52353556
NHERF1-202,NHERF1-201,1650,20,6746143,6764408,20_2,52264364,52281466
NAT9-203,NAT9-201,898,20,6766786,6770411,20_2,52258392,52262667
FDXR-204,FDXR-201,2290,20,6853012,6862576,20_2,52167624,52177744
mrna_622371,mrna_697232,908,20,6902677,6910039,20_2,52120378,52128151
OTOP3-202,OTOP3-201,2620,20,6911977,6923858,20_2,52107176,52118591
HID1-202,HID1-201,3570,20,6925123,6944270,20_2,52086565,52105924
MRPL58-202,MRPL58-201,885,20,6966875,6973850,20_2,52054084,52063402
mrna_622598,ATP5PD-202,726,20,6987369,6992175,20_2,52037899,52042911
SLC16A5-202,SLC16A5-201,2020,20,7035865,7048347,20_2,51980934,51993222
ARMC7-201,ARMC7-202,911,20,7052610,7064670,20_2,51972838,51976988
SUMO2-202,mrna_696891,457,20,7092492,7103398,20_2,51927226,51945023
GGA3-202,GGA3-201,2820,20,7134585,7150831,20_2,51874428,51890111
mrna_623036,mrna_696725,1100,20,7156760,7160004,20_2,51871536,51874800
SLC25A19-201,mrna_696640,1170,20,7165884,7182709,20_2,51853008,51866070
GRB2-203,GRB2-202,1030,20,7205216,7275055,20_2,51757805,51828986
TMEM94-204,TMEM94-201,6250,20,7328806,7346939,20_2,51684919,51719603
