gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
DOC2B-204,DOC2B-201,1680.0,17,142788.0,181650.0,14,92766588.0,92791044.0
VPS53-251,mrna_310683,1490.0,17,508667.0,685188.0,14,92990963.0,93034457.0
ABR-202,ABR-201,1640.0,17,1003518.0,1179981.0,14,93173184.0,93326492.0
CRK-202,CRK-203,927.0,17,1420688.0,1456223.0,14,92645493.0,92676162.0
MYO1C-219,mrna_310413,2170.0,17,1464185.0,1485760.0,14,92620542.0,92630756.0
PRPF8-203,mrna_310361,218.0,17,1650628.0,1651269.0,14,92599223.0,92618164.0
RPA1-203,RPA1-201,422.0,17,1829701.0,1872483.0,14,92259014.0,92316161.0
SRR-203,SRR-201,275.0,17,2303382.0,2317900.0,14,92388583.0,92406573.0
TSR1-201,TSR1-202,3110.0,17,2322395.0,2336457.0,14,92382702.0,92391325.0
METTL16-201,mrna_309869,840.0,17,2416048.0,2511888.0,14,92182168.0,92203181.0
PAFAH1B1-211,PAFAH1B1-201,1800.0,17,2593182.0,2685615.0,14,92026341.0,92105109.0
CLUH-201,CLUH-205,4860.0,17,2689385.0,2711633.0,14,92001019.0,92017266.0
ASPA-204,ASPA-201,289.0,17,3472373.0,3476395.0,14,91735416.0,91755588.0
TRPV1-203,TRPV1-202,3050.0,17,3565443.0,3595831.0,14,91671096.0,91696256.0
mrna_1567603,SHPK-201,1710.0,17,3585148.0,3636249.0,14,91642573.0,91659461.0
CTNS-212,CTNS-202,1310.0,17,3636458.0,3661448.0,14,91623590.0,91642207.0
P2RX5-TAX1BP3-201,P2RX5-202,1150.0,17,3663062.0,3696194.0,14,91580440.0,91607017.0
CAMKK1-203,CAMKK1-202,1990.0,17,3860314.0,3890743.0,14,91486153.0,91506809.0
CYB5D2-205,CYB5D2-201,511.0,17,4143167.0,4157085.0,14,91306878.0,91320194.0
UBE2G1-201,mrna_308617,686.0,17,4269258.0,4366675.0,14,91171839.0,91200737.0
SPNS3-207,SPNS3-201,253.0,17,4433939.0,4488202.0,14,91023669.0,91062365.0
MYBBP1A-202,MYBBP1A-203,3930.0,17,4538896.0,4555386.0,14,90961180.0,90977970.0
