gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
STRIT1-201	mrna_54214	144.0	1	13866505.0	13869328.0	1	112365815.0	112368879.0
MME-202	MME-201	3140.0	1	13959434.0	14046535.0	1	112478988.0	112560538.0
DHX36-202	DHX36-203	4010.0	1	14701292.0	14757173.0	1	113326615.0	113371603.0
ARHGEF26-202	ARHGEF26-201	3490.0	1	14769162.0	14910171.0	1	113370824.0	113520504.0
RAP2B-201	RAP2B-202	805.0	1	15835464.0	15836016.0	1	114555415.0	114560248.0
MBNL1-208	MBNL1-210	1970.0	1	16473713.0	16614712.0	1	115311657.0	115461588.0
MED12L-202	MED12L-203	8710.0	1	17422100.0	17739887.0	1	116653938.0	117017709.0
P2RY12-201	P2RY12-202	1360.0	1	17506899.0	17507928.0	1	116694680.0	116746249.0
P2RY14-201	P2RY14-206	1270.0	1	17622344.0	17623361.0	1	116814399.0	116880422.0
GPR171-201	GPR171-202	1320.0	1	17637302.0	17638262.0	1	116891719.0	116903298.0
mrna_19105	SELENOT-201	631.0	1	18163413.0	18187230.0	1	117507280.0	117537488.0
EIF2A-204	EIF2A-205	2440.0	1	18205144.0	18243341.0	1	117556216.0	117597974.0
SERP1-201	SERP1-202	310.0	1	18243224.0	18245939.0	1	117598267.0	117600549.0
TSC22D2-201	TSC22D2-205	1790.0	1	18318620.0	18365769.0	1	117672584.0	117718237.0
mrna_19404	RNF13-201	1670.0	1	18815838.0	18967562.0	1	118223006.0	118350034.0
COMMD2-201	COMMD2-202	855.0	1	19036718.0	19046931.0	1	118403849.0	118423375.0
WWTR1-201	WWTR1-202	1720.0	1	19101622.0	19240353.0	1	118496521.0	118642804.0
TM4SF1-201	TM4SF1-203	731.0	1	19390298.0	19397719.0	1	118809502.0	118837474.0
mrna_19655	mrna_57529	721.0	1	19488974.0	19497517.0	1	118901181.0	118941958.0
HPS3-201	HPS3-202	4190.0	1	19592736.0	19633152.0	1	119005070.0	119045977.0
HLTF-201	HLTF-202	4290.0	1	19661567.0	19732111.0	1	119074241.0	119136022.0
AGTR1-201	AGTR1-203	1500.0	1	20044709.0	20056562.0	1	119465020.0	119521547.0
mrna_20109	ZIC4-203	459.0	1	21197772.0	21198426.0	1	120906497.0	120921447.0
mrna_20209	PLSCR2-202	1110.0	1	22109497.0	22131347.0	1	121946371.0	121974115.0
mrna_20251	PLSCR1-201	903.0	1	22230215.0	22265361.0	1	122041886.0	122092789.0
PLSCR4-201	PLSCR4-202	1280.0	1	22395220.0	22431233.0	1	122280547.0	122300144.0
PLOD2-203	PLOD2-204	3250.0	1	22463322.0	22573150.0	1	122349983.0	122471157.0
PCOLCE2-201	PCOLCE2-202	1310.0	1	25558649.0	25642333.0	1	126132531.0	126231891.0
TRPC1-203	TRPC1-202	3540.0	1	25661758.0	25724263.0	1	126259506.0	126320919.0
PLS1-201	PLS1-202	2730.0	1	25728955.0	25776478.0	1	126325170.0	126418835.0
XRN1-202	XRN1-204	7330.0	1	25960253.0	26060648.0	1	126593242.0	126701959.0
GK5-201	GK5-205	2180.0	1	26091462.0	26173521.0	1	126744230.0	126814507.0
TFDP2-201	TFDP2-206	1940.0	1	26189328.0	26362303.0	1	126916189.0	127026615.0
ATP1B3-202	ATP1B3-203	1070.0	1	26383840.0	26432447.0	1	127050090.0	127086356.0
RNF7-202	RNF7-201	508.0	1	26551236.0	26557801.0	1	127214845.0	127222120.0
RASA2-202	RASA2-201	3680.0	1	26717057.0	26834574.0	1	127345514.0	127469162.0
ZBTB38-201	ZBTB38-203	4630.0	1	26875876.0	26879470.0	1	127529782.0	127670100.0
PXYLP1-201	PXYLP1-205	1530.0	1	27011830.0	27025677.0	1	127688093.0	127772893.0
mrna_22139	SLC25A36-202	1390.0	1	27270806.0	27309668.0	1	128010258.0	128042610.0
CLSTN2-201	CLSTN2-202	3840.0	1	27621259.0	28296956.0	1	128385394.0	129107932.0
mrna_22447	mrna_62483	836.0	1	28752451.0	28753386.0	1	130061903.0	130082686.0
MRPS22-201	MRPS22-203	1450.0	1	29142544.0	29162155.0	1	129741108.0	129754516.0
NMNAT3-204	NMNAT3-203	885.0	1	29332983.0	29400025.0	1	129473778.0	129548904.0
PIK3CB-201	PIK3CB-202	4680.0	1	29492292.0	29694198.0	1	130372043.0	130472307.0
FAIM-201	FAIM-203	867.0	1	29708977.0	29725751.0	1	130488923.0	130505658.0
CEP70-202	CEP70-204	2540.0	1	29737409.0	29816723.0	1	130520767.0	130600562.0
ESYT3-201	ESYT3-203	3380.0	1	29825694.0	29877102.0	1	130609159.0	130664297.0
ARMC8-205	ARMC8-201	2960.0	1	30010205.0	30113058.0	1	130823744.0	130929840.0
DBR1-202	DBR1-203	2280.0	1	30126354.0	30138476.0	1	130943078.0	130954778.0
DZIP1L-201	DZIP1L-205	2560.0	1	30178550.0	30229981.0	1	131015859.0	131070422.0
CLDN18-201	CLDN18-202	1080.0	1	30264193.0	30289315.0	1	131114603.0	131141652.0
IL20RB-201	IL20RB-202	1100.0	1	31123743.0	31152783.0	1	132167384.0	132207307.0
mrna_23605	NCK1-202	1680.0	1	31163378.0	31186215.0	1	132216625.0	132236445.0
