gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
HELZ-201,HELZ-202,7670.0,20,78176.0,229530.0,19,63146952.0,63291620.0
CACNG5-202,CACNG5-201,1040.0,20,383936.0,390686.0,19,63007441.0,63015097.0
APOH-201,APOH-202,1190.0,20,848711.0,859805.0,19,62611657.0,62624866.0
AXIN2-202,AXIN2-201,2810.0,20,1366195.0,1395341.0,19,62212832.0,62238909.0
RGS9-201,RGS9-205,2350.0,20,1604730.0,1694017.0,19,61994228.0,62042963.0
mrna_620195,AMZ2-203,1220.0,20,1784036.0,1790762.0,19,61889267.0,61896148.0
ARSG-201,ARSG-202,1920.0,20,1838659.0,1910789.0,19,61782690.0,61886373.0
PRKAR1A-201,PRKAR1A-202,1480.0,20,1979848.0,1998434.0,19,61704500.0,61718579.0
ABCA5-201,ABCA5-202,6020.0,20,2335592.0,2387326.0,19,61281089.0,61344945.0
MAP2K6-201,MAP2K6-208,1400.0,20,2453751.0,2576186.0,19,61135792.0,61236793.0
KCNJ16-201,KCNJ16-208,1270.0,20,3061671.0,3062931.0,19,60650034.0,60733612.0
KCNJ2-201,KCNJ2-205,1700.0,20,3093035.0,3103239.0,19,60608077.0,60620435.0
SOX9-202,SOX9-201,813.0,20,4734952.0,4738570.0,19,58918577.0,58923031.0
SLC39A11-201,SLC39A11-202,1130.0,20,5138490.0,5482819.0,19,58209286.0,58501781.0
SSTR2-201,SSTR2-202,1520.0,20,5540782.0,5541892.0,19,58152308.0,58159584.0
MTNAP1-202,MTNAP1-203,1460.0,20,5594210.0,5605500.0,19,58085102.0,58095091.0
CDC42EP4-201,CDC42EP4-203,656.0,20,5642213.0,5643290.0,19,58036387.0,58058309.0
mrna_621540,RPL38-202,307.0,20,6395823.0,6400419.0,19,57192443.0,57196476.0
TTYH2-202,TTYH2-203,2000.0,20,6406743.0,6445288.0,19,57151007.0,57186696.0
KIF19-201,KIF19-202,3380.0,20,6483813.0,6508230.0,19,57082416.0,57110955.0
BTBD17-201,BTBD17-202,1940.0,20,6509475.0,6513857.0,19,57046397.0,57051574.0
