gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
MME-202	MME-201	3180.0	1	13959434.0	14046535.0	1	29546029.0	29630463.0
DHX36-202	DHX36-201	4260.0	1	14701292.0	14757173.0	1	28994429.0	29037307.0
MBNL1-208	MBNL1-209	1880.0	1	16473713.0	16614712.0	1	27441395.0	27572963.0
MED12L-202	MED12L-201	8820.0	1	17422100.0	17739887.0	1	26421414.0	26710207.0
mrna_19105	SELENOT-201	876.0	1	18163413.0	18187230.0	1	26035024.0	26053801.0
EIF2A-204	EIF2A-201	2550.0	1	18205144.0	18243341.0	1	25983540.0	26022957.0
SERP1-201	mrna_33882	323.0	1	18243224.0	18245939.0	1	25980957.0	25982861.0
TSC22D2-201	mrna_33870	449.0	1	18318620.0	18365769.0	1	25868553.0	25888951.0
mrna_19404	RNF13-201	1640.0	1	18815838.0	18967562.0	1	25279971.0	25441195.0
GYG1-203	GYG1-201	1460.0	1	19742052.0	19779516.0	1	24686404.0	24717970.0
ZIC1-201	mrna_32743	1800.0	1	21175516.0	21179049.0	1	21346819.0	21351293.0
mrna_20109	ZIC4-202	417.0	1	21197772.0	21198426.0	1	23473137.0	23487058.0
mrna_20229	mrna_32994	958.0	1	22170808.0	22193626.0	1	22651457.0	22687182.0
mrna_20251	mrna_32978	934.0	1	22230215.0	22265361.0	1	22609373.0	22630616.0
PLOD2-203	PLOD2-201	3240.0	1	22463322.0	22573150.0	1	22407920.0	22503759.0
SLC9A9-201	SLC9A9-203	2410.0	1	24631186.0	25194692.0	1	20152501.0	20646746.0
U2SURP-202	U2SURP-201	4570.0	1	25399052.0	25451487.0	1	19941942.0	19985453.0
PCOLCE2-201	PCOLCE2-202	1600.0	1	25558649.0	25642333.0	1	19776165.0	19840050.0
TRPC1-203	TRPC1-201	3520.0	1	25661758.0	25724263.0	1	19706944.0	19765706.0
PLS1-201	PLS1-202	2320.0	1	25728955.0	25776478.0	1	19607632.0	19699144.0
ATR-202	ATR-201	11400.0	1	25852470.0	25958992.0	1	19513127.0	19597360.0
XRN1-202	XRN1-201	7330.0	1	25960253.0	26060648.0	1	19427939.0	19512059.0
TFDP2-201	TFDP2-202	1450.0	1	26189328.0	26362303.0	1	19185590.0	19225570.0
ATP1B3-202	ATP1B3-201	1070.0	1	26383840.0	26432447.0	1	19129835.0	19167680.0
RNF7-202	RNF7-201	498.0	1	26551236.0	26557801.0	1	19034520.0	19040643.0
RASA2-202	RASA2-201	3510.0	1	26717057.0	26834574.0	1	18874597.0	18963024.0
mrna_22139	SLC25A36-201	1390.0	1	27270806.0	27309668.0	1	18438546.0	18470590.0
mrna_22447	mrna_30849	794.0	1	28752451.0	28753386.0	1	16862753.0	16863545.0
COPB2-202	mrna_30889	3830.0	1	29162958.0	29192943.0	1	17152886.0	17180035.0
RBP1-202	RBP1-201	593.0	1	29299616.0	29313068.0	1	17267277.0	17293474.0
NMNAT3-204	NMNAT3-201	912.0	1	29332983.0	29400025.0	1	17311437.0	17414295.0
