gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
mrna_299633,mrna_640361,1970,14,81373254,81374538,20-2,63719,65003
mrna_299685,PLD6-201,585,14,81518273,81519224,20-2,537427,540477
USP22-202,USP22-201,2390,14,81570190,81599466,20-2,271068,306716
COPS3-201,COPS3-202,1410,14,81644888,81660407,20-2,573837,597175
PEMT-201,mrna_641156,691,14,81668182,81692944,20-2,673487,720020
SREBF1-201,SREBF1-202,5090,14,81733075,81749668,20-2,859111,875774
TOM1L2-208,TOM1L2-206,2220,14,81758527,81852926,20-2,881431,964235
ATPAF2-202,ATPAF2-201,1220,14,81877045,81889957,20-2,988511,1001747
MYO15A-201,mrna_641908,2550,14,81937150,81984948,20-2,1078633,1097885
PRPSAP2-203,PRPSAP2-202,1700,14,82070339,82107381,20-2,1283973,1323040
SLC5A10-203,SLC5A10-201,2590,14,82120267,82181940,20-2,1335722,1390271
mrna_300954,mrna_642585,988,14,82183299,82202477,20-2,1390271,1410619
RNF112-201,RNF112-202,2750,14,82226566,82231825,20-2,1555684,1561246
EPN2-202,EPN2-204,1450,14,82241401,82296655,20-2,1467824,1501396
mrna_301132,B9D1-201,595,14,82301704,82310549,20-2,1504745,1514541
mrna_301161,mrna_642947,1650,14,82335495,82389483,20-2,1617387,1666975
ALDH3A2-201,ALDH3A2-204,2090,14,82432360,82448128,20-2,1711656,1727384
ULK2-202,ULK2-201,3390,14,82513689,82577403,20-2,1798016,1862322
mrna_301798,SPECC1-201,2920,14,82800693,82948838,20-2,2082113,2148887
mrna_301974,mrna_643526,1580,14,82999010,83021840,20-2,2266947,2290729
NCOR1-204,NCOR1-202,7590,14,83027846,83188306,20-2,2294405,2436331
PIGL-202,PIGL-201,506,14,83188723,83219546,20-2,2439314,2516915
mrna_302450,mrna_643931,1180,14,83224581,83234861,20-2,2508407,2520597
TRPV2-201,TRPV2-203,3160,14,83299713,83315402,20-2,2580378,2596589
LRRC75A-202,LRRC75A-201,1520,14,83320703,83354740,20-2,2601933,2635976
mrna_302633,mrna_644162,190,14,83371921,83372296,20-2,2655886,2656249
mrna_302729,mrna_644346,2950,14,83488704,83519116,20-2,2809453,2845411
mrna_302768,mrna_644382,957,14,83527462,83547535,20-2,2846840,2864506
mrna_302802,mrna_644412,213,14,83607447,83607621,20-2,2923300,2923474
PMP22-202,PMP22-201,724,14,83714713,83741235,20-2,3079139,3107954
PMP22-204,PMP22-202,533,14,83714713,83731667,20-2,3079139,3098541
mrna_302971,HS3ST3B1-201,976,14,84290144,84291041,20-2,3599042,3634722
COX10-203,COX10-201,1880,14,84352794,84467026,20-2,3659471,3769873
mrna_303150,HS3ST3A1-201,1870,14,84817092,84912364,20-2,4114004,4199454
ELAC2-202,ELAC2-201,3510,14,85374896,85410659,20-2,4626269,4653930
MAP2K4-202,MAP2K4-201,1900,14,86110931,86213056,20-2,5326610,5431864
ZNF18-201,ZNF18-202,2470,14,86232822,86247624,20-2,5446496,5467454
TMEM220-203,TMEM220-202,773,14,87242196,87257036,20-2,6405588,6420619
ADPRM-201,ADPRM-202,1510,14,87260602,87272511,20-2,6423103,6428538
GAS7-201,GAS7-203,1730,14,87746825,87807692,20-2,6982888,7057283
GAS7-202,GAS7-204,346,14,87775042,87807968,20-2,7024862,7057409
mrna_305065,NTN1-201,1100,14,88404619,88406273,20-2,7532078,7714417
mrna_305236,MFSD6L-201,885,14,88581404,88583191,20-2,7883778,7885566
MYH10-203,MYH10-202,8590,14,88684707,88814180,20-2,8007074,8144205
NDEL1-203,NDEL1-201,1590,14,88824119,88853574,20-2,8141366,8185469
PFAS-202,PFAS-203,6060,14,89001999,89006654,20-2,8310709,8312837
CTC1-202,CTC1-201,5410,14,89011196,89029837,20-2,8320356,8339076
AURKB-201,mrna_647674,1550,14,89042647,89047393,20-2,8352422,8357861
PER1-202,PER1-201,5360,14,89088652,89101445,20-2,8392566,8407790
mrna_306220,ALOXE3-203,438,14,89138583,89144493,20-2,8431292,8450823
ALOX15B-201,ALOX15B-203,1860,14,89148948,89158532,20-2,8456724,8466418
DLG4-202,DLG4-205,3240,14,89314141,89325079,20-2,9131401,9145653
