gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
RAB4A-205	mrna_152950	289.0	1	229271061.0	229305891.0	11	78758179.0	78769017.0
ACTA1-203	mrna_152868	1390.0	1	229430364.0	229434100.0	11	78607055.0	78610744.0
COG2-202	COG2-201	2540.0	1	230642480.0	230693982.0	11	77524863.0	77564130.0
AGT-209	AGT-201	1160.0	1	230690775.0	230714566.0	11	77509066.0	77520645.0
CAPN9-203	CAPN9-201	2190.0	1	230747383.0	230801772.0	11	77421948.0	77467328.0
C1orf198-201	mrna_152275	544.0	1	230837118.0	230868521.0	11	77370570.0	77385710.0
TTC13-202	TTC13-201	2420.0	1	230906242.0	230978859.0	11	77263878.0	77335763.0
ARV1-202	ARV1-201	485.0	1	230979093.0	231000595.0	11	77249798.0	77263705.0
GNPAT-203	GNPAT-201	748.0	1	231241206.0	231266091.0	11	77056393.0	77085924.0
SPRTN-204	SPRTN-201	762.0	1	231337103.0	231353132.0	11	77023595.0	77035431.0
mrna_367284	EGLN1-202	485.0	1	231363796.0	231528603.0	11	76964166.0	77013841.0
DISC1-209	DISC1-202	1780.0	1	231626789.0	232041272.0	11	76489992.0	76815569.0
SIPA1L2-202	SIPA1L2-201	5880.0	1	232397964.0	232561558.0	11	76100660.0	76203580.0
NTPCR-202	NTPCR-201	623.0	1	232950610.0	232983882.0	11	75654269.0	75677745.0
PCNX2-201	PCNX2-202	6450.0	1	232983434.0	233295725.0	11	75402060.0	75647664.0
MAP3K21-203	MAP3K21-201	2200.0	1	233327723.0	233385148.0	11	75326561.0	75384249.0
KCNK1-202	KCNK1-201	1250.0	1	233614105.0	233672514.0	11	75129629.0	75176139.0
SLC35F3-202	SLC35F3-201	1920.0	1	233904675.0	234324511.0	11	74652444.0	74949031.0
COA6-203	mrna_150937	305.0	1	234373455.0	234385080.0	11	74618168.0	74626126.0
IRF2BP2-202	IRF2BP2-201	1040.0	1	234602299.0	234609525.0	11	80358279.0	80362009.0
ARID4B-211	ARID4B-201	2050.0	1	235131633.0	235194077.0	11	80753758.0	80913951.0
GGPS1-206	GGPS1-201	1240.0	1	235327349.0	235343093.0	11	80914251.0	80921831.0
TBCE-257	mrna_153735	972.0	1	235367359.0	235448966.0	11	80984345.0	81050174.0
GNG4-203	GNG4-201	277.0	1	235547684.0	235649784.0	11	81432306.0	81453138.0
LYST-201	mrna_154053	4600.0	1	235661040.0	235866906.0	11	81647835.0	81716810.0
ERO1B-202	ERO1B-201	1650.0	1	236215100.0	236281958.0	11	81938507.0	81977470.0
EDARADD-204	EDARADD-202	179.0	1	236348256.0	236484837.0	11	82041936.0	82072560.0
LGALS8-215	LGALS8-202	340.0	1	236517999.0	236539063.0	11	82118475.0	82135505.0
