gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
mrna_299685,PLD6-201,465.0,14,81518273.0,81519224.0,16,54778263.0,54781625.0
USP22-202,USP22-201,1870.0,14,81570190.0,81599466.0,16,55017008.0,55028955.0
TOM1L2-208,TOM1L2-201,1980.0,14,81758527.0,81852926.0,16,54359096.0,54427038.0
ATPAF2-202,ATPAF2-201,991.0,14,81877045.0,81889957.0,16,54325874.0,54339036.0
DRG2-202,DRG2-201,1530.0,14,81914872.0,81929294.0,16,54295264.0,54307495.0
MYO15A-201,mrna_347471,2210.0,14,81937150.0,81984948.0,16,54247880.0,54263544.0
SHMT1-202,SHMT1-201,1840.0,14,81991807.0,82041378.0,16,54076421.0,54093821.0
PRPSAP2-203,PRPSAP2-201,1330.0,14,82070339.0,82107381.0,16,54014883.0,54044724.0
SLC5A10-203,SLC5A10-201,2280.0,14,82120267.0,82181940.0,16,53952238.0,54001797.0
mrna_300954,mrna_346871,912.0,14,82183299.0,82202477.0,16,53930624.0,53951919.0
RNF112-201,RNF112-203,2310.0,14,82226566.0,82231825.0,16,53803546.0,53808861.0
EPN2-202,EPN2-203,1380.0,14,82241401.0,82296655.0,16,53851745.0,53880669.0
mrna_301132,B9D1-201,525.0,14,82301704.0,82310549.0,16,53838412.0,53848515.0
mrna_301161,mrna_346453,1260.0,14,82335495.0,82389483.0,16,53710565.0,53746053.0
ALDH3A1-202,ALDH3A1-201,1750.0,14,82483117.0,82488342.0,16,53620126.0,53626339.0
ULK2-202,ULK2-201,1840.0,14,82513689.0,82577403.0,16,53530358.0,53601338.0
mrna_301798,mrna_346083,682.0,14,82800693.0,82948838.0,16,53314773.0,53398286.0
mrna_301974,TTC19-201,860.0,14,82999010.0,83021840.0,16,53179917.0,53202484.0
PIGL-202,PIGL-201,403.0,14,83188723.0,83219546.0,16,52983945.0,53042154.0
mrna_302450,mrna_345485,650.0,14,83224581.0,83234861.0,16,52980193.0,52988343.0
UBB-201,mrna_345469,874.0,14,83271052.0,83271742.0,16,52949643.0,52952906.0
LRRC75A-202,LRRC75A-201,1280.0,14,83320703.0,83354740.0,16,52816685.0,52919429.0
mrna_302729,mrna_345157,1600.0,14,83488704.0,83519116.0,16,52650704.0,52673680.0
mrna_302768,mrna_345121,887.0,14,83527462.0,83547535.0,16,52624811.0,52649133.0
TEKT3-201,Tektin-3-201,1860.0,14,83655464.0,83682518.0,16,52500962.0,52523778.0
PMP22-202,PMP22-201,617.0,14,83714713.0,83741235.0,16,52451241.0,52475084.0
mrna_302971,HS3ST3B1-201,814.0,14,84290144.0,84291041.0,16,52009161.0,52046866.0
COX10-203,COX10-201,1480.0,14,84352794.0,84467026.0,16,51897438.0,51992531.0
mrna_303150,HS3ST3A1-201,1590.0,14,84817092.0,84912364.0,16,51494952.0,51570098.0
ELAC2-202,ELAC2-205,2030.0,14,85374896.0,85410659.0,16,51127913.0,51154358.0
ARHGAP44-203,mrna_344510,626.0,14,85414506.0,85561914.0,16,51022360.0,51099633.0
MYOCD-202,MYOCD-201,3620.0,14,85579519.0,85672763.0,16,50921380.0,51005086.0
MAP2K4-202,MAP2K4-201,1570.0,14,86110931.0,86213056.0,16,50502340.0,50564552.0
DNAH9-202,mrna_344273,3000.0,14,86250164.0,86552955.0,16,50355767.0,50440793.0
TMEM220-203,mrna_344107,623.0,14,87242196.0,87257036.0,16,49585241.0,49598228.0
RCVRN-201,Recoverin-201,825.0,14,87817768.0,87825642.0,16,48904433.0,48911498.0
mrna_305065,NTN1-201,1040.0,14,88404619.0,88406273.0,16,48363762.0,48523233.0
mrna_305236,MFSD6L-201,653.0,14,88581404.0,88583191.0,16,48201503.0,48203285.0
MYH10-203,MYH10-201,7910.0,14,88684707.0,88814180.0,16,47981060.0,48093337.0
NDEL1-203,NDEL1-205,1450.0,14,88824119.0,88853574.0,16,47944325.0,47969613.0
CTC1-202,CTC1-201,4560.0,14,89011196.0,89029837.0,16,47806368.0,47823290.0
