gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
HELZ-201,HELZ-202,8550.0,20,78176.0,229530.0,14,132695381.0,132831085.0
CACNG5-202,CACNG5-201,1220.0,20,383936.0,390686.0,14,132579440.0,132585882.0
CEP112-203,CEP112-202,4200.0,20,1159765.0,1313425.0,14,131750836.0,132163162.0
RGS9-201,mrna_340623,666.0,20,1604730.0,1694017.0,14,131527886.0,131572643.0
GNA13-201,GNA13-202,1750.0,20,1718965.0,1759165.0,14,131463184.0,131499487.0
mrna_620195,AMZ2-201,1330.0,20,1784036.0,1790762.0,14,131424287.0,131431345.0
WIPI1-203,WIPI1-201,1610.0,20,1912330.0,1941822.0,14,131271181.0,131299570.0
ABCA6-201,mrna_340245,1210.0,20,2227262.0,2285214.0,14,131001845.0,131006770.0
ABCA5-201,ABCA5-202,7530.0,20,2335592.0,2387326.0,14,130881514.0,130948382.0
SOX9-202,SOX9-201,1050.0,20,4734952.0,4738570.0,14,128517299.0,128520841.0
COG1-201,COG1-203,4090.0,20,5564082.0,5577969.0,14,127886886.0,127899949.0
VCF1-202,VCF1-201,901.0,20,5578978.0,5593876.0,14,127861192.0,127885465.0
MTNAP1-202,MTNAP1-201,2450.0,20,5594210.0,5605500.0,14,127848509.0,127861054.0
TTYH2-202,TTYH2-201,968.0,20,6406743.0,6445288.0,14,127063590.0,127086358.0
GPRC5C-201,GPRC5C-202,1890.0,20,6576686.0,6592233.0,14,127014052.0,127027179.0
mrna_621824,mrna_339075,436.0,20,6608697.0,6623324.0,14,126980041.0,126993621.0
CD300LF-201,mrna_339022,1160.0,20,6696328.0,6714749.0,14,126896968.0,126922405.0
MRPL58-202,MRPL58-201,895.0,20,6966875.0,6973850.0,14,126716999.0,126724670.0
mrna_622598,mrna_338815,726.0,20,6987369.0,6992175.0,14,126739458.0,126744602.0
SLC16A5-202,SLC16A5-201,2020.0,20,7035865.0,7048347.0,14,126789186.0,126799988.0
GRB2-203,mrna_338728,335.0,20,7205216.0,7275055.0,14,126636140.0,126643315.0
TMEM94-204,TMEM94-202,6240.0,20,7328806.0,7346939.0,14,126599040.0,126623077.0
mrna_623609,mrna_338251,3150.0,20,7411444.0,7431768.0,14,126506956.0,126535213.0
mrna_623763,mrna_338224,1870.0,20,7440223.0,7444785.0,14,126495873.0,126500665.0
RECQL5-201,mrna_338183,1390.0,20,7446022.0,7482859.0,14,126492964.0,126495638.0
ITGB4-202,ITGB4-201,8050.0,20,7528588.0,7558764.0,14,126461249.0,126487948.0
ACOX1-201,ACOX1-202,3080.0,20,7705751.0,7730427.0,14,126311487.0,126333207.0
mrna_624694,TEN1-201,560.0,20,7730531.0,7749737.0,14,126334812.0,126345329.0
SRP68-202,mrna_337839,1610.0,20,7779394.0,7808994.0,14,126291760.0,126311861.0
EXOC7-202,EXOC7-205,3250.0,20,7820118.0,7838420.0,14,126263761.0,126281887.0
mrna_625210,mrna_337554,568.0,20,7937207.0,7937986.0,14,126192407.0,126193377.0
mrna_625261,QRICH2-201,2420.0,20,7970786.0,7978890.0,14,126135688.0,126157539.0
MFSD11-202,MFSD11-201,1670.0,20,8341684.0,8366540.0,14,126045025.0,126065785.0
mrna_626032,mrna_337106,262.0,20,8601433.0,8601880.0,14,125796347.0,125796821.0
SEC14L1-201,mrna_337067,1080.0,20,8639272.0,8692444.0,14,125712684.0,125758309.0
SEPTIN9-204,SEPTIN9-201,1590.0,20,8790535.0,8897238.0,14,125658377.0,125671183.0
TNRC6C-203,mrna_336902,5760.0,20,9280030.0,9343693.0,14,125235070.0,125290582.0
TMC6-202,TMC6-201,3380.0,20,9350507.0,9364947.0,14,125178678.0,125194076.0
BIRC5-201,mrna_336743,664.0,20,9434344.0,9442179.0,14,125170434.0,125177444.0
mrna_626878,mrna_336722,1310.0,20,9455764.0,9461675.0,14,125153492.0,125159245.0
PGS1-201,PGS1-202,2890.0,20,9557990.0,9597225.0,14,125019432.0,125059321.0
mrna_627309,mrna_336312,2510.0,20,9877929.0,9894518.0,14,124739650.0,124766754.0
mrna_627408,LGALS3BP-202,2440.0,20,9983856.0,10018361.0,14,124640180.0,124648736.0
mrna_627423,CANT1-201,1790.0,20,10001930.0,10018311.0,14,124615323.0,124629585.0
C1QTNF1-201,mrna_336169,1220.0,20,10024724.0,10046954.0,14,124587385.0,124609222.0
ENGASE-201,ENGASE-202,3310.0,20,10059615.0,10067869.0,14,124566953.0,124575238.0
CBX4-201,CBX4-202,2360.0,20,10704267.0,10710592.0,14,124004633.0,124008998.0
TBC1D16-201,mrna_335892,1860.0,20,10785985.0,10848131.0,14,123916397.0,123925244.0
mrna_627869,CCDC40-201,840.0,20,10904264.0,10907396.0,14,123844856.0,123876993.0
GAA-201,GAA-202,2140.0,20,10908671.0,10927245.0,14,123820441.0,123843669.0
EIF4A3-202,EIF4A3-201,1190.0,20,10929964.0,10943546.0,14,123809344.0,123817620.0
RNF213-201,RNF213-202,12600.0,20,11020195.0,11129193.0,14,123697779.0,123801490.0
ENDOV-203,mrna_335117,1220.0,20,11134241.0,11160096.0,14,123676067.0,123692554.0
AATK-201,AATK-204,5670.0,20,11714324.0,11752378.0,14,123194597.0,123204589.0
CEP131-202,CEP131-201,2170.0,20,11768641.0,11787290.0,14,123142235.0,123151557.0
SLC38A10-202,SLC38A10-206,2960.0,20,11809394.0,11848884.0,14,123110498.0,123139721.0
BAHCC1-202,BAHCC1-201,4270.0,20,11929777.0,11985008.0,14,123053565.0,123091110.0
CCDC137-201,mrna_334331,748.0,20,12135108.0,12141576.0,14,122982758.0,122988193.0
ASPSCR1-201,ASPSCR1-202,1850.0,20,12367969.0,12397890.0,14,122953319.0,122979317.0
DCXR-201,mrna_334152,492.0,20,12415525.0,12417469.0,14,122910749.0,122912159.0
GPS1-202,GPS1-201,2530.0,20,12433846.0,12439561.0,14,122882625.0,122887602.0
DUS1L-202,DUS1L-201,2210.0,20,12440053.0,12447543.0,14,122874912.0,122882049.0
CCDC57-201,mrna_333910,583.0,20,12481315.0,12581467.0,14,122789821.0,122827096.0
CSNK1D-203,mrna_334172,1580.0,20,12622964.0,12657509.0,14,122919730.0,122925793.0
mrna_631113,mrna_333864,848.0,20,12694480.0,12696268.0,14,122703028.0,122704681.0
mrna_631124,mrna_333876,625.0,20,12701043.0,12702658.0,14,122709610.0,122711212.0
mrna_631142,mrna_333888,727.0,20,12736048.0,12736627.0,14,122736667.0,122737162.0
OGFOD3-202,OGFOD3-201,1470.0,20,12779925.0,12795534.0,14,122677370.0,122694447.0
CYBC1-201,CYBC1-202,865.0,20,12812765.0,12819011.0,14,122655463.0,122660066.0
mrna_631335,NARF-202,1110.0,20,12823437.0,12837493.0,14,122629886.0,122649712.0
WDR45B-202,WDR45B-203,1610.0,20,12949461.0,12987686.0,14,122484207.0,122517218.0
RAB40B-202,mrna_333474,228.0,20,12993042.0,13019621.0,14,122477256.0,122477418.0
FN3K-202,FN3K-201,1440.0,20,13053933.0,13064052.0,14,122430753.0,122441763.0
TBCD-201,mrna_333335,1680.0,20,13065015.0,13240558.0,14,122298858.0,122430235.0
mrna_631772,B3GNTL1-201,919.0,20,13245046.0,13297778.0,14,122118394.0,122217490.0
PSMD12-201,PSMD12-203,1960.0,20,13561968.0,13589253.0,14,122004754.0,122020663.0
PITPNC1-201,PITPNC1-202,1440.0,20,13598445.0,13852387.0,14,121743704.0,121879532.0
BPTF-203,BPTF-202,13900.0,20,13935513.0,14077740.0,14,121521063.0,121665941.0
C17orf58-201,mrna_332488,460.0,20,14081960.0,14086944.0,14,121514559.0,121517053.0
CEP95-202,CEP95-201,1990.0,20,14310588.0,14374393.0,14,121230474.0,121291276.0
mrna_632649,DDX5-202,2870.0,20,14377116.0,14384857.0,14,121223171.0,121229423.0
mrna_632749,mrna_332184,444.0,20,14435521.0,14435884.0,14,121169804.0,121170116.0
PECAM1-203,PECAM1-201,3170.0,20,14465905.0,14519447.0,14,121105289.0,121137960.0
mrna_633280,mrna_332031,944.0,20,14860568.0,14862181.0,14,120955124.0,120956437.0
mrna_633292,mrna_332001,1780.0,20,14874524.0,14878800.0,14,120935174.0,120939299.0
mrna_633313,mrna_331963,2490.0,20,14894121.0,14903391.0,14,120908542.0,120918451.0
mrna_633366,mrna_331933,1880.0,20,14904335.0,14908863.0,14,120901952.0,120907607.0
STRADA-207,mrna_331738,2000.0,20,14989995.0,15019545.0,14,120778375.0,120806455.0
TANC2-202,TANC2-204,9160.0,20,15239570.0,15599245.0,14,120244357.0,120616083.0
MRC2-202,mrna_330998,1550.0,20,15839307.0,15893587.0,14,119980926.0,119984211.0
TLK2-203,TLK2-204,3520.0,20,15905620.0,16010860.0,14,119842177.0,119943728.0
mrna_634744,mrna_330735,1730.0,20,16041446.0,16051913.0,14,119795049.0,119804764.0
mrna_634815,mrna_330662,293.0,20,16128549.0,16128916.0,14,119686436.0,119686803.0
KANSL1-204,KANSL1-203,5020.0,20,16432286.0,16618557.0,14,119246020.0,119401089.0
mrna_635259,mrna_330299,1370.0,20,16626775.0,16733463.0,14,119214991.0,119240644.0
mrna_635495,mrna_330241,846.0,20,16946726.0,16962387.0,14,119116326.0,119127611.0
NSF-203,NSF-201,3460.0,20,17014069.0,17133524.0,14,118787864.0,118918840.0
GOSR2-201,GOSR2-203,968.0,20,17265091.0,17285802.0,14,118628390.0,118650877.0
mrna_635821,mrna_329971,256.0,20,17327074.0,17327251.0,14,118579599.0,118579776.0
mrna_635862,RDM1-202,1050.0,20,17344530.0,17350157.0,14,118560028.0,118565866.0
TBKBP1-202,TBKBP1-201,1480.0,20,17765778.0,17781246.0,14,114473421.0,114487553.0
NPEPPS-201,NPEPPS-203,4300.0,20,17842327.0,17944766.0,14,114536127.0,114641490.0
SOCS7-203,SOCS7-202,2970.0,20,18022612.0,18046071.0,14,114695927.0,114732395.0
SRCIN1-208,SRCIN1-202,5630.0,20,18169234.0,18224417.0,14,114837025.0,114907178.0
mrna_637192,CWC25-202,889.0,20,18390269.0,18409137.0,14,114991496.0,115025873.0
mrna_637344,mrna_325422,405.0,20,18553255.0,18553946.0,14,115128911.0,115130166.0
mrna_637409,mrna_325480,391.0,20,18651085.0,18653130.0,14,115224632.0,115226832.0
mrna_637455,CACNB1-201,1210.0,20,18666769.0,18676537.0,14,115232304.0,115250638.0
RPL19-202,RPL19-201,911.0,20,18679584.0,18683878.0,14,115252582.0,115257612.0
FBXL20-201,FBXL20-206,2030.0,20,18728447.0,18844611.0,14,115306718.0,115425837.0
mrna_637758,mrna_325867,348.0,20,18808634.0,18809892.0,14,115389317.0,115389572.0
MED1-202,MED1-203,7390.0,20,18846765.0,18871532.0,14,115428153.0,115453834.0
MIEN1-202,MIEN1-201,485.0,20,19088021.0,19088950.0,14,115575123.0,115576054.0
mrna_638712,LRRC3C-201,1130.0,20,19262988.0,19263753.0,14,115753036.0,115753888.0
PSMD3-201,PSMD3-202,2430.0,20,19294192.0,19308184.0,14,115779263.0,115793298.0
MSL1-202,MSL1-201,1660.0,20,19400802.0,19411722.0,14,115842589.0,115850886.0
TNS4-202,TNS4-201,2290.0,20,19656471.0,19676674.0,14,115953392.0,115970098.0
