gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
mrna_640477,TMEM11-201,742,20_2,207794,218604,16,55082414,55093342
DHRS7B-202,DHRS7B-201,1110,20_2,218948,254695,16,55047320,55078767
COPS3-203,COPS3-201,1560,20_2,573837,597122,16,54729113,54750854
mrna_641156,PEMT-201,836,20_2,673487,720020,16,54627542,54659819
SREBF1-202,SREBF1-201,4170,20_2,859111,875774,16,54434646,54452137
TOM1L2-206,TOM1L2-201,1880,20_2,881431,964235,16,54359096,54427038
DRG2-202,DRG2-201,1520,20_2,1026774,1041526,16,54295264,54307495
mrna_641908,mrna_347471,2780,20_2,1078633,1097885,16,54247880,54263544
FLII-202,FLII-201,1990,20_2,1147138,1159293,16,54134765,54143538
TOP3A-202,TOP3A-201,2950,20_2,1168429,1193906,16,54102658,54124879
SHMT1-202,SHMT1-201,1850,20_2,1205637,1227493,16,54076421,54093821
PRPSAP2-202,PRPSAP2-201,1330,20_2,1283973,1323040,16,54014883,54044724
SLC5A10-203,SLC5A10-201,2290,20_2,1335722,1390265,16,53952238,54001797
mrna_642585,mrna_346871,906,20_2,1390271,1410619,16,53930624,53951919
EPN2-204,EPN2-203,939,20_2,1467824,1501396,16,53851745,53880669
MFAP4-201,mrna_346698,1050,20_2,1536874,1539657,16,53821329,53824545
RNF112-202,RNF112-203,2290,20_2,1555684,1561246,16,53803546,53808861
mrna_642947,mrna_346453,901,20_2,1617387,1666975,16,53710565,53746053
ALDH3A1-202,ALDH3A1-201,1750,20_2,1766749,1772506,16,53620126,53626339
SPECC1-201,mrna_346083,691,20_2,2082113,2148887,16,53314773,53398286
mrna_643526,TTC19-201,851,20_2,2266947,2290729,16,53179917,53202484
NCOR1-202,NCOR1-204,1120,20_2,2294405,2436331,16,53058765,53102616
PIGL-202,PIGL-201,863,20_2,2439314,2494978,16,52983945,53042154
mrna_643931,mrna_345485,656,20_2,2508407,2520597,16,52980193,52988343
UBB-201,mrna_345469,878,20_2,2554446,2556556,16,52949643,52952906
TRPV2-203,TRPV2-201,2900,20_2,2580378,2596589,16,52914637,52928718
mrna_644346,mrna_345157,1680,20_2,2809453,2845411,16,52650704,52673680
mrna_644382,mrna_345121,890,20_2,2846840,2864506,16,52624811,52649133
mrna_644430,CDRT4-201,346,20_2,2949433,2950773,16,52576786,52579812
TEKT3-201,Tektin-3-201,1880,20_2,3021493,3046966,16,52500962,52523778
ELAC2-201,ELAC2-205,2010,20_2,4626269,4653930,16,51127913,51154358
ARHGAP44-203,mrna_344528,636,20_2,4657255,4809871,16,51022360,51110329
MYOCD-202,MYOCD-201,3610,20_2,4828258,4918439,16,50921380,51005086
ZNF18-202,ZNF18-201,1760,20_2,5446496,5467454,16,50443042,50455537
DNAH9-202,mrna_344273,3040,20_2,5469519,5773545,16,50355767,50440793
TMEM220-202,mrna_344107,623,20_2,6405588,6420619,16,49585241,49598228
ADPRM-202,ADPRM-201,1400,20_2,6423103,6428538,16,49577554,49582654
MYH3-201,mrna_343445,6790,20_2,6503596,6524359,16,49221116,49266802
GAS7-203,GAS7-201,299,20_2,6982888,7057283,16,48920878,48947234
RCVRN-201,Recoverin-201,825,20_2,7067399,7074315,16,48904433,48911498
CCDC42-202,CCDC42-201,1330,20_2,7908599,7921122,16,48175278,48185381
MYH10-202,MYH10-201,8320,20_2,8007074,8144205,16,47981060,48093337
NDEL1-201,NDEL1-205,1430,20_2,8141366,8185469,16,47944325,47969613
PFAS-203,PFAS-202,514,20_2,8310709,8312837,16,47827026,47831629
mrna_647674,AURKB-202,1410,20_2,8352422,8357861,16,47786160,47790318
ALOXE3-203,ALOXE3-201,1490,20_2,8431292,8450823,16,47701668,47720982
ALOX15B-203,ALOX15B-201,2400,20_2,8456724,8466418,16,47661376,47670491
mrna_648348,NAA38-202,731,20_2,8611182,8611922,16,47386090,47388939
KDM6B-201,mrna_341091,2490,20_2,8614971,8629872,16,47379032,47383639
EFNB3-201,Ephrin-B3-201,1530,20_2,8730926,8734826,16,47268997,47275550
SHBG-201,mrna_340763,239,20_2,8781250,8786022,16,47225459,47227839
FXR2-204,FXR2-202,2990,20_2,8796285,8810292,16,47203243,47217524
MPDU1-201,mrna_340546,530,20_2,8813372,8816834,16,47196689,47199407
mrna_648997,mrna_340530,1200,20_2,8818583,8820802,16,47192829,47194615
