gene1,gene2,score,chrom1,start1,end1,chrom2,start2,end2
DOC2B-204,DOC2B-201,1670,17,142788,181650,20_2,13438007,13461434
LIAT1-201,mrna_656456,452,17,410324,414666,20_2,13645360,13648273
VPS53-251,VPS53-204,2740,17,508667,685188,20_2,13700579,13808179
TLCD3A-206,TLCD3A-201,142,17,732411,740586,20_2,13822254,13830579
ABR-202,ABR-201,3620,17,1003518,1179981,20_2,14033178,14166654
BHLHA9-201,mrna_657117,275,17,1270443,1271815,20_2,14260725,14263102
YWHAE-201,YWHAE-202,1160,17,1344274,1400222,20_2,13362559,13407680
CRK-202,CRK-201,917,17,1420688,1456223,20_2,13319142,13345372
MYO1C-219,MYO1C-201,4210,17,1464185,1485760,20_2,13288381,13312485
INPP5K-204,INPP5K-202,1500,17,1494576,1516612,20_2,13267140,13286141
PITPNA-201,PITPNA-202,1130,17,1517717,1562792,20_2,13225271,13265992
SLC43A2-201,SLC43A2-202,2270,17,1569267,1628834,20_2,13174995,13213199
RILP-204,RILP-201,515,17,1646144,1649032,20_2,13154179,13156878
PRPF8-203,PRPF8-201,225,17,1650628,1651269,20_2,13115564,13153437
WDR81-207,WDR81-201,607,17,1716522,1731227,20_2,13074364,13085530
SERPINF2-201,SERPINF2-202,1700,17,1742835,1755265,20_2,13067036,13072237
SERPINF1-205,SERPINF1-201,353,17,1762028,1771169,20_2,13047893,13059355
DPH1-218,DPH1-201,1690,17,2030136,2043898,20_2,12841369,12852129
SRR-203,SRR-201,275,17,2303382,2317900,20_2,12578654,12591322
MNT-201,MNT-202,2090,17,2384072,2401060,20_2,12512023,12525087
PAFAH1B1-211,PAFAH1B1-201,1790,17,2593182,2685615,20_2,12289731,12367855
CLUH-201,CLUH-203,5170,17,2689385,2711633,20_2,12265972,12284646
RAP1GAP2-208,RAP1GAP2-201,3000,17,2755704,3034207,20_2,12012608,12226544
SPATA22-203,SPATA22-201,645,17,3440018,3471746,20_2,11973053,11987849
ASPA-204,ASPA-201,277,17,3472373,3476395,20_2,11946287,11965394
TRPV3-202,TRPV3-201,1120,17,3510501,3535677,20_2,11912622,11938363
TRPV1-203,TRPV1-202,3040,17,3565443,3595831,20_2,11882990,11906369
mrna_1567603,SHPK-201,1700,17,3585148,3636249,20_2,11851444,11872413
CTNS-212,CTNS-201,1330,17,3636458,3661448,20_2,11830856,11850986
P2RX5-TAX1BP3-201,ITGAE-202,1050,17,3663062,3696194,20_2,11771663,11811556
NCBP3-201,NCBP3-202,2470,17,3802157,3846246,20_2,11683785,11713037
P2RX1-201,P2RX1-202,1490,17,3896591,3916465,20_2,11638886,11644918
ATP2A3-204,ATP2A3-201,3880,17,3923867,3964419,20_2,11591990,11623431
CYB5D2-205,CYB5D2-201,534,17,4143167,4157085,20_2,11431616,11443488
UBE2G1-201,mrna_653452,756,17,4269258,4366675,20_2,11239579,11344686
SPNS3-207,SPNS3-201,362,17,4433939,4488202,20_2,11144430,11180929
SPNS2-201,SPNS2-202,2160,17,4498880,4539035,20_2,11099495,11135216
MYBBP1A-202,MYBBP1A-201,3980,17,4538896,4555386,20_2,11082635,11099632
PELP1-208,PELP1-201,3870,17,4669773,4704137,20_2,9435951,9459319
MED11-203,MED11-201,315,17,4731427,4733312,20_2,9481682,9483453
PSMB6-205,PSMB6-201,765,17,4796143,4798502,20_2,9535045,9537024
C17orf114-202,C17orf114-201,270,17,4801158,4802328,20_2,9538617,9539295
PLD2-201,PLD2-202,3650,17,4807151,4823430,20_2,9544824,9556887
MINK1-202,MINK1-203,3490,17,4833339,4898061,20_2,9560896,9609133
CHRNE-203,CHRNE-201,1830,17,4897770,4903098,20_2,9609804,9614394
C17orf107-202,C17orf107-201,267,17,4899417,4900799,20_2,9610853,9611620
RNF167-205,RNF167-201,1400,17,4940007,4945191,20_2,9649400,9654014
PFN1-201,mrna_651696,569,17,4945651,4948530,20_2,9654657,9658092
SPAG7-207,SPAG7-201,702,17,4959225,4967790,20_2,9665937,9668400
CAMTA2-212,CAMTA2-201,485,17,4967991,4986234,20_2,9665937,9686135
INCA1-205,INCA1-201,473,17,4988129,4997522,20_2,9686440,9688922
KIF1C-201,KIF1C-202,2370,17,4997949,5028401,20_2,9695519,9715697
ZNF232-211,ZNF232-201,985,17,5105268,5111891,20_2,9779425,9784202
