gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
SAMD11-203	SAMD11-204	2660.0	1	40638.0	58208.0	16	51526213.0	51545932.0
NOC2L-201	NOC2L-202	2440.0	1	58294.0	70780.0	16	51514458.0	51526316.0
mrna_340	KLHL17-203	2660.0	1	73931.0	85653.0	16	51498245.0	51512948.0
mrna_501	PERM1-201	210.0	1	87364.0	87790.0	16	51493179.0	51498783.0
HES4-201	HES4-202	517.0	1	110591.0	111532.0	16	51474045.0	51476192.0
AGRN-204	AGRN-206	7940.0	1	139327.0	158568.0	16	51422881.0	51462010.0
mrna_888	mrna_520592	1120.0	1	165764.0	171954.0	16	51409249.0	51421007.0
mrna_990	RNF223-202	995.0	1	173747.0	189863.0	16	51404214.0	51408000.0
mrna_1003	C16H1orf159-204	737.0	1	181813.0	190504.0	16	51391793.0	51400873.0
mrna_1091	TNFRSF18-201	574.0	1	287002.0	288607.0	16	51293198.0	51296582.0
TNFRSF4-201	TNFRSF4-203	1020.0	1	294166.0	296840.0	16	51285832.0	51288674.0
B3GALT6-201	B3GALT6-202	1260.0	1	312966.0	313941.0	16	51264635.0	51270225.0
UBE2J2-201	UBE2J2-202	1370.0	1	331742.0	345055.0	16	51239384.0	51251060.0
ACAP3-202	ACAP3-203	3320.0	1	355590.0	369474.0	16	51218664.0	51229547.0
PUSL1-201	PUSL1-203	814.0	1	369420.0	371444.0	16	51211869.0	51214693.0
INTS11-202	INTS11-203	2530.0	1	372439.0	385274.0	16	51201648.0	51211949.0
CPTP-201	CPTP-203	800.0	1	385180.0	389351.0	16	51197667.0	51201111.0
mrna_1607	AURKAIP1-201	707.0	1	429120.0	430161.0	16	51147362.0	51151855.0
CCNL2-203	CCNL2-202	2110.0	1	436546.0	441105.0	16	51137599.0	51145733.0
MRPL20-202	MRPL20-201	572.0	1	443551.0	446172.0	16	51132010.0	51136137.0
mrna_1731	ANKRD65-202	376.0	1	450483.0	452117.0	16	51125123.0	51128060.0
VWA1-201	VWA1-202	1630.0	1	463693.0	468909.0	16	51109184.0	51114780.0
ATAD3A-203	ATAD3A-204	2290.0	1	475021.0	492841.0	16	51085080.0	51101450.0
mrna_1924	mrna_519341	991.0	1	499799.0	524681.0	16	51053335.0	51078042.0
FNDC10-201	FNDC10-203	934.0	1	536827.0	537505.0	16	51040398.0	51051023.0
MIB2-202	MIB2-204	3610.0	1	568543.0	581003.0	16	51007095.0	51019798.0
MMP23B-201	MMP23-202	1420.0	1	582676.0	584959.0	16	51003856.0	51006187.0
mrna_2120	CDK11-203	2990.0	1	585865.0	598178.0	16	50986302.0	51003446.0
SLC35E2B-202	SLC35E2-201	1280.0	1	603309.0	625962.0	16	50971135.0	50979510.0
GNB1-202	GNB1-201	1430.0	1	667186.0	756848.0	16	50911454.0	50933400.0
PRKCZ-202	PRKCZ-204	2370.0	1	926810.0	1003880.0	16	50600636.0	50699544.0
FAAP20-201	FAAP20-202	357.0	1	1006850.0	1011520.0	16	50593755.0	50598403.0
SKI-201	SKI-203	3080.0	1	1037792.0	1095141.0	16	50517024.0	50569734.0
mrna_2938	MORN1-201	813.0	1	1140688.0	1160495.0	16	50453008.0	50502221.0
mrna_2995	RER1-201	457.0	1	1163553.0	1174389.0	16	50442764.0	50452801.0
mrna_3010	RER1-202	784.0	1	1163553.0	1174479.0	16	50442764.0	50453087.0
