gene1	gene2	score	chrom1	start1	end1	chrom2	start2	end2
SAMD11-201	SAMD11-204	3420.0	1	135845.0	156096.0	16	51526213.0	51545932.0
NOC2L-201	NOC2L-202	2400.0	1	156089.0	168880.0	16	51514458.0	51526316.0
PLEKHN1-202	KLHL17-203	2650.0	1	176292.0	184803.0	16	51498245.0	51512948.0
mrna_492	PERM1-201	213.0	1	185224.0	185650.0	16	51493179.0	51498783.0
HES4-201	HES4-202	691.0	1	205956.0	207897.0	16	51474045.0	51476192.0
AGRN-203	AGRN-206	7720.0	1	235600.0	254471.0	16	51422881.0	51462010.0
mrna_823	mrna_520592	1130.0	1	261569.0	267872.0	16	51409249.0	51421007.0
RNF223-201	RNF223-202	799.0	1	269933.0	270692.0	16	51404214.0	51408000.0
mrna_944	TTLL10-201	787.0	1	362756.0	367517.0	16	51300201.0	51316209.0
TNFRSF4-201	TNFRSF4-203	996.0	1	385736.0	388428.0	16	51285832.0	51288674.0
B3GALT6-201	B3GALT6-202	1230.0	1	404243.0	405218.0	16	51264635.0	51270225.0
UBE2J2-201	UBE2J2-202	1130.0	1	422894.0	436767.0	16	51239384.0	51251060.0
ACAP3-202	ACAP3-203	3230.0	1	447899.0	460959.0	16	51218664.0	51229547.0
PUSL1-201	PUSL1-203	1080.0	1	461493.0	464619.0	16	51211869.0	51214693.0
INTS11-201	INTS11-203	2100.0	1	464525.0	477824.0	16	51201648.0	51211949.0
CPTP-201	CPTP-203	772.0	1	477912.0	481801.0	16	51197667.0	51201111.0
MXRA8-201	MXRA8-202	1390.0	1	501964.0	505252.0	16	51173037.0	51177363.0
mrna_1520	AURKAIP1-201	713.0	1	521341.0	522777.0	16	51147362.0	51151855.0
MRPL20-202	MRPL20-201	582.0	1	535643.0	538260.0	16	51132010.0	51136137.0
ANKRD65-201	ANKRD65-202	998.0	1	540534.0	545608.0	16	51125123.0	51128060.0
mrna_1664	VWA1-202	1540.0	1	555321.0	560678.0	16	51109184.0	51114780.0
ATAD3A-202	ATAD3A-204	2280.0	1	566105.0	582543.0	16	51085080.0	51101450.0
mrna_1793	mrna_519341	985.0	1	589322.0	615235.0	16	51053335.0	51078042.0
MIB2-201	MIB2-204	3740.0	1	652499.0	665138.0	16	51007095.0	51019798.0
mrna_2036	MMP23-202	893.0	1	666732.0	669026.0	16	51003856.0	51006187.0
mrna_2058	CDK11-203	2930.0	1	669951.0	686895.0	16	50986302.0	51003446.0
SLC35E2B-202	SLC35E2-201	1540.0	1	687713.0	710364.0	16	50971135.0	50979510.0
mrna_2591	PRKCZ-204	2310.0	1	1001945.0	1078731.0	16	50600636.0	50699544.0
FAAP20-201	FAAP20-202	343.0	1	1080438.0	1086749.0	16	50593755.0	50598403.0
SKI-201	SKI-203	3040.0	1	1110870.0	1169368.0	16	50517024.0	50569734.0
mrna_2792	MORN1-201	757.0	1	1214561.0	1235298.0	16	50453008.0	50502221.0
PEX10-201	PEX10-206	1170.0	1	1250183.0	1255636.0	16	50437188.0	50446716.0
PANK4-201	PANK4-202	2910.0	1	1334702.0	1350277.0	16	50343132.0	50359576.0
PRXL2B-203	PRXL2B-201	688.0	1	1383250.0	1386803.0	16	50307835.0	50311025.0
TTC34-201	TTC34-202	3700.0	1	1430231.0	1452303.0	16	50250966.0	50263472.0
ARHGEF16-201	ARHGEF16-202	2650.0	1	2030112.0	2043410.0	16	49542329.0	49566184.0
MEGF6-201	MEGF6-206	5060.0	1	2050858.0	2153887.0	16	49497466.0	49537218.0
TPRG1L-201	TPRG1L-203	1090.0	1	2166461.0	2171072.0	16	49419777.0	49422661.0
WRAP73-201	WRAP73-203	1610.0	1	2171630.0	2188592.0	16	49406251.0	49418227.0
TP73-203	TP73-202	1430.0	1	2204641.0	2257365.0	16	49329487.0	49403811.0
TP73-204	TP73-205	2560.0	1	2221384.0	2257688.0	16	49329494.0	49404329.0
CCDC27-201	mrna_516334	851.0	1	2281376.0	2295779.0	16	49291322.0	49298061.0
LRRC47-201	LRRC47-202	800.0	1	2304178.0	2315952.0	16	49273407.0	49284772.0
DFFB-201	DFFB-203	1290.0	1	2384409.0	2402331.0	16	49213743.0	49228476.0
C1orf174-201	C16H1orf174-204	731.0	1	2402214.0	2413706.0	16	49208402.0	49211521.0
NPHP4-204	NPHP4-201	1830.0	1	4137904.0	4284610.0	16	47326499.0	47462289.0
KCNAB2-203	KCNAB2-201	1710.0	1	4325785.0	4376823.0	16	47231899.0	47265743.0
CHD5-201	CHD5-202	8230.0	1	4385383.0	4448265.0	16	47156887.0	47226132.0
mrna_4754	RPL22-204	531.0	1	4452655.0	4460910.0	16	47146157.0	47152159.0
ICMT-201	ICMT-202	1210.0	1	4481389.0	4490278.0	16	47113312.0	47119672.0
GPR153-202	GPR153-201	2340.0	1	4500541.0	4511675.0	16	47090051.0	47100054.0
ACOT7-201	ACOT7-207	1480.0	1	4514775.0	4604889.0	16	47022803.0	47087019.0
ESPN-202	ESPN-206	3540.0	1	4618969.0	4647338.0	16	46911754.0	46943795.0
